project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,28.047788634007006,4.091190450634175,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device]",30571;30597;31696,0.0,,0.0,0.0,0.0,3.3333333333333335,1.0,5,2.9283035338078926E-4,1,4.091190450634175,CIRCLE,3,47,1,0.4714045207910317,0.816496580927726,0.0,0,cyclicDep,86443,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,33.643657954117195,4.711054418700084,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.cache, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device]",32102;30571;30597;31937,0.0,,0.0,0.0,0.0,3.5,1.3333333333333333,7,2.241756893367689E-4,1,4.711054418700084,CIRCLE,4,51,1,0.5,0.7453559924999299,0.0,0,cyclicDep,86450,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,35.254303130446374,6.662437052003357,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.common, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device]",30459;30571;30597;30962,0.0,,0.0,0.0,0.0,3.5,1.5,7,2.6937882756061375E-4,1,4.711054418700084,CIRCLE,4,56,2,0.5,0.7637626158259734,0.0,0,cyclicDep,86458,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,34.38298151437232,6.556577316135354,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device]",31413;30571;30597;31887,0.0,,0.0,0.0,0.0,3.75,1.3333333333333333,7,2.3042608888081738E-4,1,4.636200281613203,CIRCLE,4,55,2,0.82915619758885,0.7453559924999299,0.0,0,cyclicDep,86466,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,39.9117602832507,10.137597249547996,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.error, com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle, com.sitewhere.rest.model.monitoring]",31750;31856;30644;31413;30571;30597;31096,0.0,,0.0,0.0,0.0,4.142857142857143,2.380952380952381,15,1.8216069943833156E-4,1,5.068798624773998,CIRCLE,7,62,4,0.8329931278350429,1.2526615655205624,0.0,0,cyclicDep,86474,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,38.934181003485044,8.779416751443817,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle, com.sitewhere.rest.model.monitoring, com.sitewhere.spi.monitoring]",30454;31856;30644;31413;30571;30597;31034,0.0,,0.0,0.0,0.0,4.142857142857143,2.380952380952381,15,1.7591471061687944E-4,1,5.068798624773998,CIRCLE,7,59,3,0.8329931278350429,1.2526615655205624,0.0,0,cyclicDep,86485,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,38.2660171899762,6.872779574767436,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle]",30644;31413;30571;30597;31230,0.0,,0.0,0.0,0.0,4.0,1.6,11,2.230722617252242E-4,1,4.85978904291845,CIRCLE,5,62,2,0.8944271909999159,0.8,0.0,0,cyclicDep,86496,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,38.724603407316614,7.129777396990921,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.tenant, com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle]",31102;30644;31413;30571;30597;31517,0.0,,0.0,0.0,0.0,4.0,1.7333333333333334,14,1.9775573242806306E-4,1,5.041513945762851,CIRCLE,6,59,2,0.816496580927726,0.6798692684790381,0.0,0,cyclicDep,86505,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,16.303417639826545,4.2095243336874955,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.tenant, com.sitewhere.spi.device.batch, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.search]",31747;31102;30644;31413;31101,0.0,,0.0,0.0,0.0,4.4,2.1,8,1.1605078678490447E-4,1,4.2095243336874955,CIRCLE,5,15,1,0.4898979485566356,0.3,0.0,0,cyclicDep,86515,smell
sitewhere-1.13.0,75ad5bf9-e533-4c8a-9a12-180e729e4464,1,2023-02-10T21:49:50.816104100,156.08330898939883,22.350307921224882,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.server, com.sitewhere.spi.tenant, com.sitewhere.spi.device.batch, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.spi.device, com.sitewhere.spi.server.lifecycle, com.sitewhere.rest.model, com.sitewhere.spi.search]",31003;30481;31747;31102;30644;31413;30571;30597;30445,0.0,,0.0,0.0,0.0,4.0,1.9722222222222223,29,1.5680428913777606E-4,1,6.198860094798867,CIRCLE,9,634,13,0.6666666666666666,0.8970975145530634,0.0,0,cyclicDep,86524,smell
