project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.3333333333333333,false,PACKAGE,2,9,0.8888888888888888,false,617,3,7.197409776614068E-4,0,PACKAGE,.,.,com.sitewhere.microservice.configuration,configuration,0,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.5,false,PACKAGE,3,2,0.625,false,235,2,8.708732757712544E-4,0,PACKAGE,.,.,com.sitewhere.communication.mqtt,mqtt,16396,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,18,1.0,false,841,2,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.sources.spring,spring,4124,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,14,0.9,false,93,8,7.393820064032302E-4,0,PACKAGE,.,.,com.sitewhere.search,search,12325,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,2,1,0.25,false,80,2,8.416562386780966E-4,0,PACKAGE,.,.,com.sitewhere.asset.marshaling,marshaling,16426,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,3,4,0.4,false,8,2,9.260588593203215E-4,0,PACKAGE,.,.,com.sitewhere.search.spi,spi,12362,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.8333333333333334,false,PACKAGE,36,3,0.2,false,94,7,0.021672301794709206,0,PACKAGE,.,.,com.sitewhere.spi.microservice.configuration,configuration,20558,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,0,0.0,false,8,1,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.search.messages,messages,12378,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,5,1,1.0,false,0,1,9.014916515487022E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.device.request,request,16517,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,6,1,0.14285714285714285,false,135,1,9.737662362321154E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.device.request.scripting,scripting,16523,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,0,1.0,false,0,1,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.asset,asset,16532,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,0,0,0.0,false,21,2,6.319504661755138E-4,0,PACKAGE,.,.,com.sitewhere.asset.modules.wso2.scim,scim,16545,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,8,0.9166666666666666,false,851,8,6.990951788178366E-4,0,PACKAGE,.,.,com.sitewhere.event.persistence.influxdb,influxdb,8361,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,1,5,0.8571428571428571,false,133,1,6.617925606832128E-4,0,PACKAGE,.,.,com.sitewhere.connectors.solr,solr,12486,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,4,1,0.16666666666666666,false,27,2,0.0010185859543576797,0,PACKAGE,.,.,com.sitewhere.spi.device.streaming,streaming,244,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,1.0,false,PACKAGE,5,3,0.23076923076923078,false,29,3,0.0012212151617463868,0,PACKAGE,.,.,com.sitewhere.grpc.client.spi.cache,cache,12546,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,0,0,1.0,false,0,1,6.319504661755138E-4,0,PACKAGE,.,.,com,com,16645,container
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,0.0,false,PACKAGE,3,1,0.3333333333333333,false,97,3,8.173360893009684E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.tenant,tenant,16656,container
