project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,7.97639857635734,5.640165522788999,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi, com.sitewhere.rest]",27027;25054,0.0,,0.0,0.0,0.0,3.0,1.0,2,4.0631902266300896E-5,1,3.256351082856275,TINY,2,6,3,0.0,0.0,0.0,0,cyclicDep,74536,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,16.30763811228192,5.156927969257955,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",26571;26458;27004;25185,0.0,,0.0,0.0,0.0,4.75,1.8333333333333333,10,1.802982086557146E-4,1,5.156927969257955,CIRCLE,4,10,1,0.4330127018922193,1.0671873729054748,0.0,0,cyclicDep,74561,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,16.734093995260398,4.830716836404045,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",26680;26571;26458;27004;25352,0.0,,0.0,0.0,0.0,4.8,2.0,15,1.6267382191565444E-4,1,4.830716836404045,CIRCLE,5,12,1,0.39999999999999997,0.8944271909999159,0.0,0,cyclicDep,74569,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,13.54041267955801,3.9087804527407197,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",26680;26571;26458;26713,0.0,,0.0,0.0,0.0,5.0,2.3333333333333335,8,1.5525169311649274E-4,1,3.9087804527407197,CIRCLE,4,12,1,0.0,0.7453559924999298,0.0,0,cyclicDep,74578,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,11.733604049322828,4.1484554955170525,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.groovy, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26906;26680;26571;26285,0.0,,0.0,0.0,0.0,5.0,2.5,7,1.4557609580486593E-4,1,4.1484554955170525,CIRCLE,4,8,1,0.0,0.5,0.0,0,cyclicDep,74586,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,10.514053311779431,4.29234429037987,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.groovy, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26906;26680;26051,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,1.7624201637700965E-4,1,4.29234429037987,CIRCLE,3,6,1,0.0,0.4714045207910317,0.0,0,cyclicDep,74594,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,12.140583019659863,4.29234429037987,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26680;26571;26497,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,1.8898704402672083E-4,1,4.29234429037987,CIRCLE,3,8,1,0.0,0.4714045207910317,0.0,0,cyclicDep,74601,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,10.975781566157348,4.1484554955170525,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.kafka, com.sitewhere.spi.microservice.state, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26147;26163;26680;26768,0.0,,0.0,0.0,0.0,5.0,2.5,7,1.8627676270821023E-4,1,4.1484554955170525,CIRCLE,4,7,1,0.0,0.5,0.0,0,cyclicDep,74608,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,9.750950329558991,4.360757556423576,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.state, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26163;26680;26910,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,5,2.1606494963169985E-4,1,4.360757556423576,CIRCLE,3,5,1,0.0,0.4714045207910317,0.0,0,cyclicDep,74616,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,17.91046893474076,4.967470316293285,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26680;25231,0.0,,0.0,0.0,0.0,5.0,3.0,2,2.566913989958639E-4,1,4.967470316293285,TINY,2,13,1,0.0,0.0,0.0,0,cyclicDep,74623,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,60.69378818151329,27.995956865470365,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.server, com.sitewhere.spi.microservice, com.sitewhere.spi, com.sitewhere.rest, com.sitewhere.rest.model]",26422;25329;25631;27027;25120,0.0,,0.0,0.0,0.0,3.6,1.6,8,6.926828602614758E-5,1,4.426549448535725,CIRCLE,5,188,40,0.4898979485566356,1.019803902718557,0.0,0,cyclicDep,74629,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,27.051318826175073,8.250574893206345,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.server, com.sitewhere.spi.microservice, com.sitewhere.rest.model]",26422;25329;25624,0.0,,0.0,0.0,0.0,4.0,2.3333333333333335,4,8.835920853271205E-5,1,4.125287446603172,CIRCLE,3,43,4,0.0,0.9428090415820634,0.0,0,cyclicDep,74638,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,26.5875676884384,7.2813052860765985,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.server, com.sitewhere.spi.microservice]",25329;26113,0.0,,0.0,0.0,0.0,4.0,1.0,2,1.223393658128187E-4,1,4.203863566968169,TINY,2,40,3,0.0,0.0,0.0,0,cyclicDep,74645,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,7.034846060876459,4.974387354249216,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch, com.sitewhere.batch.handler]",26688;27185,0.0,,0.0,0.0,0.0,3.5,0.0,2,2.193068285693238E-6,1,4.974387354249216,TINY,2,2,1,0.5,0.0,0.0,0,cyclicDep,74657,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,19.77851365393957,13.228978597744641,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch, com.sitewhere.microservice, com.sitewhere.microservice.kafka, com.sitewhere.event]",27114;25622;26989;25099,0.0,,0.0,0.0,0.0,3.25,2.0,7,3.4178382358706783E-6,1,3.208498592796268,CIRCLE,4,38,17,0.4330127018922193,0.0,0.0,0,cyclicDep,74669,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,28.71997280294572,28.71997280294572,0.0,CONTAINER,PACKAGE,"[com.sitewhere.grpc.client.spi.cache, com.sitewhere.grpc.client.cache]",25820;27018,0.0,,0.0,0.0,0.0,5.5,2.0,2,3.045424343507199E-6,1,5.5271613429664805,TINY,2,27,27,0.5,0.0,0.0,0,cyclicDep,74677,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,14.556188536161022,6.738205961428333,0.0,CONTAINER,PACKAGE,"[com.sitewhere.asset, com.sitewhere.microservice, com.sitewhere.connectors, com.sitewhere.device]",27273;27303;25083;25278,0.0,,0.0,0.0,0.0,3.0,2.0,6,3.454392677353376E-6,1,2.7508610645465277,CIRCLE,4,28,6,0.0,0.0,0.0,0,cyclicDep,74689,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,14.911920411522306,6.782818613987625,0.0,CONTAINER,PACKAGE,"[com.sitewhere.microservice, com.sitewhere.connectors, com.sitewhere.device]",27273;27303;25326,0.0,,0.0,0.0,0.0,3.0,2.0,4,4.014255280621484E-6,1,2.769074103686917,CIRCLE,3,29,6,0.0,0.0,0.0,0,cyclicDep,74697,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,9.360893261658672,9.360893261658672,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.resource, com.sitewhere.spi.resource.request]",26974;26673,0.0,,0.0,0.0,0.0,4.5,0.0,2,6.505851626613343E-6,1,5.404514244473988,TINY,2,3,3,0.5,0.0,0.0,0,cyclicDep,74746,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,8.615891634087765,8.615891634087765,0.0,CONTAINER,PACKAGE,"[com.sitewhere.schedule, com.sitewhere.schedule.jobs]",26661;25167,0.0,,0.0,0.0,0.0,3.5,0.0,2,1.736619528795758E-6,1,4.974387354249216,TINY,2,3,3,0.5,0.0,0.0,0,cyclicDep,74752,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,47.64711115256375,47.64711115256375,0.0,CONTAINER,PACKAGE,"[com.sitewhere.sources, com.sitewhere.sources.decoder.json]",26446;25881,0.0,,0.0,0.0,0.0,4.0,1.0,2,3.894233661605866E-6,1,6.25637220151385,TINY,2,58,58,1.0,0.0,0.0,0,cyclicDep,74758,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,20.509924484306293,14.923162062747647,0.0,CONTAINER,PACKAGE,"[com.sitewhere.web.microservice, com.sitewhere.web]",25720;26679,0.0,,0.0,0.0,0.0,3.5,0.0,2,1.6432824777634552E-6,1,4.974387354249216,TINY,2,17,9,0.5,0.0,0.0,0,cyclicDep,74764,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,57.196002591937244,40.44368128952217,0.0,CONTAINER,PACKAGE,"[com.sitewhere.web.rest.controllers, com.sitewhere.web.rest]",27298;25152,0.0,,0.0,0.0,0.0,4.5,0.0,2,2.100299737345033E-6,1,5.404514244473988,TINY,2,112,56,0.5,0.0,0.0,0,cyclicDep,74770,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,14.299000647984311,14.299000647984311,0.0,CONTAINER,PACKAGE,"[com.sitewhere.web.security, com.sitewhere.web.security.jwt]",25320;26435,0.0,,0.0,0.0,0.0,4.5,0.0,2,1.7658863683544359E-6,1,5.404514244473988,TINY,2,7,7,0.5,0.0,0.0,0,cyclicDep,74776,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,5.986185670049627,3.4561259080222326,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.microservice.configuration.IZookeeperManager, com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.IMicroservice]",21396;16635;20593,0.0,,0.0,0.0,0.0,4.666666666666667,2.3333333333333335,4,2.2371551497692843E-5,1,3.4561259080222326,CIRCLE,3,3,1,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,74788,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,5.986185670049627,3.4561259080222326,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.IMicroservice, com.sitewhere.spi.microservice.grpc.IMicroserviceManagementGrpcServer]",21397;16635;10738,0.0,,0.0,0.0,0.0,4.666666666666667,2.3333333333333335,4,2.2316090407742004E-5,1,3.4561259080222326,CIRCLE,3,3,1,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,74795,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,7.4186235133763265,4.28314428246431,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.microservice.kafka.IMicroserviceKafkaProducer, com.sitewhere.spi.microservice.kafka.tenant.ITenantModelProducer, com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.IMicroservice]",7032;21381;16635;14071,0.0,,0.0,0.0,0.0,5.0,1.6666666666666667,5,1.79790344458545E-5,1,4.28314428246431,CIRCLE,4,3,1,0.7071067811865476,1.4907119849998596,0.0,0,cyclicDep,74802,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,5.986185670049627,3.4561259080222326,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.metrics.IMetricsServer, com.sitewhere.spi.microservice.IMicroservice]",21382;16635;11862,0.0,,0.0,0.0,0.0,4.666666666666667,2.3333333333333335,4,2.2324160832395563E-5,1,3.4561259080222326,CIRCLE,3,3,1,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,74810,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,6.188393871583851,3.572870867610367,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.microservice.scripting.IScriptTemplateManager, com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.IMicroservice]",21383;16635;21000,0.0,,0.0,0.0,0.0,4.666666666666667,1.6666666666666667,4,2.231159168815135E-5,1,3.572870867610367,CIRCLE,3,3,1,0.4714045207910317,1.247219128924647,0.0,0,cyclicDep,74817,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,6.725407330318014,3.362703665159007,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.tenant.ITenantManagement, com.sitewhere.spi.server.lifecycle.ILifecycleComponent, com.sitewhere.spi.microservice.IMicroservice]",21386;16635;19718,0.0,,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,4,2.2700272660048913E-5,1,3.362703665159007,CIRCLE,3,4,1,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,74830,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,5.8525612064287795,3.378977787980417,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.microservice.multitenant.IDatasetBootstrapManager, com.sitewhere.spi.server.lifecycle.ITenantEngineLifecycleComponent, com.sitewhere.spi.microservice.multitenant.IMicroserviceTenantEngine]",16340;16616;16332,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,2.102904622093248E-5,1,3.378977787980417,CIRCLE,3,3,1,0.0,0.4714045207910317,0.0,0,cyclicDep,74843,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,5.8525612064287795,3.378977787980417,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.server.lifecycle.ITenantEngineLifecycleComponent, com.sitewhere.spi.microservice.scripting.IScriptManager, com.sitewhere.spi.microservice.multitenant.IMicroserviceTenantEngine]",16351;16616;21026,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,2.1048535243767462E-5,1,3.378977787980417,CIRCLE,3,3,1,0.0,0.4714045207910317,0.0,0,cyclicDep,74850,smell
sitewhere-2.1.0,0131abe6-ee06-465c-b14a-499c376c1c27,1,2023-02-10T21:58:31.162484600,6.581781827736211,4.6540225626826635,0.0,UNIT,INTERFACE,"[com.sitewhere.spi.server.lifecycle.ITenantEngineLifecycleComponent, com.sitewhere.spi.microservice.multitenant.IMicroserviceTenantEngine]",16616;16352,0.0,,0.0,0.0,0.0,5.0,3.0,2,3.063541387132323E-5,1,4.6540225626826635,TINY,2,2,1,0.0,0.0,0.0,0,cyclicDep,74857,smell
