project,versionId,versionIndex,versionDate,edgeId,edgeLabel,from,fromId,to,toId
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35550,affects,cyclicDep,35547,com.sitewhere.asset.persistence.rdb,3906
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35551,affects,cyclicDep,35547,com.sitewhere.asset.configuration,6627
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35552,affects,cyclicDep,35547,com.sitewhere.asset.spi.microservice,5489
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35557,affects,cyclicDep,35554,com.sitewhere.asset.configuration,6627
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35558,affects,cyclicDep,35554,com.sitewhere.asset.spi.microservice,5489
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35563,affects,cyclicDep,35560,com.sitewhere.batch.handler,835
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35564,affects,cyclicDep,35560,com.sitewhere.batch,2050
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35569,affects,cyclicDep,35566,com.sitewhere.batch.configuration.manager,5506
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35570,affects,cyclicDep,35566,com.sitewhere.batch.configuration,4693
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35571,affects,cyclicDep,35566,com.sitewhere.batch.spi.microservice,3315
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35572,affects,cyclicDep,35566,com.sitewhere.batch.handler,835
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35573,affects,cyclicDep,35566,com.sitewhere.batch,2050
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35584,affects,cyclicDep,35581,com.sitewhere.batch.persistence,4701
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35585,affects,cyclicDep,35581,com.sitewhere.batch.persistence.rdb,6835
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35586,affects,cyclicDep,35581,com.sitewhere.batch.configuration,4693
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35587,affects,cyclicDep,35581,com.sitewhere.batch.spi.microservice,3315
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,35588,affects,cyclicDep,35581,com.sitewhere.batch.handler,835
