project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,1.0,false,PACKAGE,5,0,0.0,false,20,5,0.01114222994813242,0,PACKAGE,.,.,com.sitewhere.batch.spi.kafka,kafka,0,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.25,false,PACKAGE,4,5,0.75,false,349,12,0.004703688867536775,0,PACKAGE,.,.,com.sitewhere.batch,batch,2050,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,1,0.5,false,17,1,0.00192901539940196,0,PACKAGE,.,.,com.sitewhere.device.kafka,kafka,4099,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,1,0.5,false,123,10,0.0020194111785934695,0,PACKAGE,.,.,com.sitewhere.event,event,2058,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,0,0,0.0,false,8,1,0.001691123893499604,0,PACKAGE,.,.,com.sitewhere.device.messages,messages,4107,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,0,1,0.0,false,37,5,0.001691123893499604,0,PACKAGE,.,.,com.sitewhere.web,web,2066,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,1.0,false,PACKAGE,8,3,0.2777777777777778,false,30,2,0.008520706852586818,0,PACKAGE,.,.,com.sitewhere.devicestate.spi.microservice,microservice,6162,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,8,0.9722222222222222,false,225,2,0.0022385164921138066,0,PACKAGE,.,.,com.sitewhere.device.microservice,microservice,4115,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,2,0,0.0,false,30,3,0.026712545715787718,0,PACKAGE,.,.,com.sitewhere.sources.kafka,kafka,8211,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,4,0.9,false,350,17,0.0019307431084539424,0,PACKAGE,.,.,com.sitewhere.commands,commands,2074,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,1.0,false,PACKAGE,3,0,0.0,false,4,1,0.006038983621597371,0,PACKAGE,.,.,com.sitewhere.asset.spi.grpc,grpc,4124,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,1,1.0,false,12,5,0.0031288391832256348,0,PACKAGE,.,.,com.sitewhere.instance,instance,2082,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,0,0,0.0,false,8,1,0.001691123893499604,0,PACKAGE,.,.,com.sitewhere.search.messages,messages,6181,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,0,1,1.0,false,14,8,0.001691123893499604,0,PACKAGE,.,.,com.sitewhere.labels,labels,2090,container
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,0.0,false,PACKAGE,1,4,0.8333333333333334,false,191,3,0.002051766300414721,0,PACKAGE,.,.,com.sitewhere.sources.coap,coap,8239,container
