project,versionId,versionIndex,versionDate,edgeId,edgeLabel,from,fromId,to,toId
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8311,affects,cyclicDep,8308,tools.descartes.teastore.registryclient.loadbalancers,1495
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8312,affects,cyclicDep,8308,tools.descartes.teastore.registryclient,2073
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8317,affects,cyclicDep,8314,tools.descartes.teastore.image.setup,1037
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8318,affects,cyclicDep,8314,tools.descartes.teastore.image,968
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8323,affects,cyclicDep,8320,tools.descartes.teastore.image.storage,258
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8324,affects,cyclicDep,8320,tools.descartes.teastore.image.cache,0
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8325,affects,cyclicDep,8320,tools.descartes.teastore.image.setup,1037
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8326,affects,cyclicDep,8320,tools.descartes.teastore.image,968
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8331,affects,cyclicDep,8328,tools.descartes.teastore.image.storage,258
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8332,affects,cyclicDep,8328,tools.descartes.teastore.image.cache,0
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8337,affects,cyclicDep,8334,tools.descartes.teastore.image.storage.rules,311
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8338,affects,cyclicDep,8334,tools.descartes.teastore.image.setup,1037
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8339,affects,cyclicDep,8334,tools.descartes.teastore.image,968
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8344,affects,cyclicDep,8341,tools.descartes.teastore.persistence.domain,493
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8345,affects,cyclicDep,8341,tools.descartes.teastore.persistence.repository,517
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8386,affects,cyclicDep,8383,tools.descartes.teastore.registryclient.loadbalancers.LoadBalancerUpdaterDaemon,1516
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8387,affects,cyclicDep,8383,tools.descartes.teastore.registryclient.RegistryClient,340
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8388,affects,cyclicDep,8383,tools.descartes.teastore.registryclient.loadbalancers.ServiceLoadBalancer,348
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8393,affects,cyclicDep,8390,tools.descartes.teastore.image.setup.CreatorFactory,2323
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8394,affects,cyclicDep,8390,tools.descartes.teastore.image.setup.SetupController,753
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8411,affects,cyclicDep,8408,tools.descartes.teastore.persistence.domain.PersistenceUser,867
teastore-1.4.2,d6102545-eb13-4923-ae60-65016c08d84d,1,2023-02-10T19:22:28.964250400,8412,affects,cyclicDep,8408,tools.descartes.teastore.persistence.domain.OrderRepository,910
