project,versionId,versionIndex,versionDate,edgeId,edgeLabel,from,fromId,to,toId
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8311,affects,cyclicDep,8308,tools.descartes.teastore.registryclient.loadbalancers,1498
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8312,affects,cyclicDep,8308,tools.descartes.teastore.registryclient,2075
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8317,affects,cyclicDep,8314,tools.descartes.teastore.image.setup,1036
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8318,affects,cyclicDep,8314,tools.descartes.teastore.image,968
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8323,affects,cyclicDep,8320,tools.descartes.teastore.image.storage,256
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8324,affects,cyclicDep,8320,tools.descartes.teastore.image.cache,0
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8325,affects,cyclicDep,8320,tools.descartes.teastore.image.setup,1036
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8326,affects,cyclicDep,8320,tools.descartes.teastore.image,968
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8331,affects,cyclicDep,8328,tools.descartes.teastore.image.storage,256
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8332,affects,cyclicDep,8328,tools.descartes.teastore.image.cache,0
teastore-1.3.4,08152d83-14a5-4e36-ab9d-a3261b235ade,1,2023-02-10T19:17:41.934469600,8337,affects,cyclicDep,8334,tools.descartes.teastore.image.storage.rules,309
