project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,2,0.0,false,17,7,0.0020177115849973628,0,PACKAGE,.,.,com.trainticket,trainticket,0,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,2,0,0.0,false,149,2,0.005319169180235198,0,PACKAGE,.,.,notification.entity,entity,4107,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,2,1.0,false,30,1,0.0020177115849973628,0,PACKAGE,.,.,com.trainticket.controller,controller,15,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,4,0,0.0,false,287,5,0.007404382519414259,0,PACKAGE,.,.,security.entity,entity,6161,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.5,false,PACKAGE,1,2,0.8571428571428571,false,258,2,0.0037327474848314482,0,PACKAGE,.,.,cancel.service,service,2069,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,3,1.0,false,23,1,0.0020177115849973628,0,PACKAGE,.,.,com.trainticket.init,init,23,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0020177115849973628,0,PACKAGE,.,.,com.trainticket.config,config,31,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,1,4,0.9166666666666666,false,306,2,0.00314838495346349,0,PACKAGE,.,.,org.myproject.ms.monitoring.trace,trace,4132,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,1.0,false,PACKAGE,2,1,0.5,false,15,2,0.0035660153768238122,0,PACKAGE,.,.,com.trainticket.repository,repository,39,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0020177115849973628,0,PACKAGE,.,.,rebook.config,config,8231,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.5,false,PACKAGE,2,3,0.75,false,267,4,0.003446908168192434,0,PACKAGE,.,.,fdse.microservice.service,service,6186,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.5,false,PACKAGE,2,3,0.7142857142857143,false,66,2,0.003446908168192434,0,PACKAGE,.,.,com.trainticket.service,service,47,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,4,0,0.0,false,69,2,0.007454648254575345,0,PACKAGE,.,.,com.trainticket.entity,entity,55,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0020177115849973628,0,PACKAGE,.,.,adminroute.config,config,64,container
trainticket-0.0.2-228066f,1cdb0484-4d9a-4761-947d-535c30288d4e,1,2023-02-13T12:00:13.668866300,0.0,false,PACKAGE,2,0,0.0,false,470,10,0.0040971993575748015,0,PACKAGE,.,.,plan.entity,entity,8270,container
