project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,2,0.0,false,17,7,0.002214016342620961,0,PACKAGE,.,.,com.trainticket,trainticket,0,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.5,false,PACKAGE,1,2,0.6666666666666666,false,133,2,0.0028413235429410773,0,PACKAGE,.,.,adminorder.service,service,4098,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.5,false,PACKAGE,2,3,0.6666666666666666,false,118,2,0.003782284343421252,0,PACKAGE,.,.,route.service,service,1028,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.5,false,PACKAGE,1,2,0.9090909090909091,false,252,2,0.0028413235429410773,0,PACKAGE,.,.,travelplan.service,service,3079,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,2,0,0.0,false,127,3,0.004048888771882791,0,PACKAGE,.,.,adminorder.entity,entity,4106,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,2,1.0,false,78,1,0.002214016342620961,0,PACKAGE,.,.,route.init,init,1036,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.5,false,PACKAGE,1,2,0.75,false,131,2,0.0031549771431011353,0,PACKAGE,.,.,execute.serivce,serivce,2060,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,1,0.0,false,11,5,0.002214016342620961,0,PACKAGE,.,.,notification,notification,7181,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,2,1.0,false,30,1,0.002214016342620961,0,PACKAGE,.,.,com.trainticket.controller,controller,15,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,8,1.0,false,136,2,0.002214016342620961,0,PACKAGE,.,.,auth.service.impl,impl,3088,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.002214016342620961,0,PACKAGE,.,.,adminorder.config,config,4114,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,4,0,0.0,false,35,2,0.0076467480302053505,0,PACKAGE,.,.,route.entity,entity,1044,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,3,1.0,false,23,1,0.002214016342620961,0,PACKAGE,.,.,com.trainticket.init,init,23,container
trainticket-0.0.4-97fe13c,b8b58bff-7324-4346-b825-c24969eca24b,1,2023-02-13T12:00:55.899344100,0.0,false,PACKAGE,0,3,1.0,false,49,1,0.002214016342620961,0,PACKAGE,.,.,adminorder.controller,controller,4122,container
