project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,0,2,0.0,false,17,7,0.0020862044123809314,0,PACKAGE,.,.,com.trainticket,trainticket,0,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,0,1,1.0,false,79,1,0.0020862044123809314,0,PACKAGE,.,.,auth.config,config,4106,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,0,2,1.0,false,36,1,0.0020862044123809314,0,PACKAGE,.,.,com.trainticket.controller,controller,15,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,7,0,0.0,false,51,1,0.009028675473553323,0,PACKAGE,.,.,auth.entity,entity,4114,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,0,3,1.0,false,23,1,0.0020862044123809314,0,PACKAGE,.,.,com.trainticket.init,init,23,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,1.0,false,PACKAGE,3,1,0.2,false,9,1,0.003913822239272271,0,PACKAGE,.,.,auth.repository,repository,4126,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0020862044123809314,0,PACKAGE,.,.,com.trainticket.config,config,31,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.5,false,PACKAGE,1,2,0.8571428571428571,false,264,2,0.003859462612270154,0,PACKAGE,.,.,cancel.service,service,2084,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,0.0,false,PACKAGE,3,0,0.0,false,7,2,0.004435771527234152,0,PACKAGE,.,.,auth.exception,exception,4134,container
trainticket-0.2.0-e5ae0c3,08710a7f-2e9d-4309-9f81-3ef66a7ba91f,1,2023-02-13T12:01:55.013217200,1.0,false,PACKAGE,2,1,0.5,false,16,2,0.0036870655802623306,0,PACKAGE,.,.,com.trainticket.repository,repository,39,container
