project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,0.0,false,28,7,0.0017655994247613052,0,PACKAGE,.,.,com.trainticket,trainticket,0,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,3,0,0.0,false,22,2,0.0033920921259497612,0,PACKAGE,.,.,auth.constant,constant,2059,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,79,1,0.0017655994247613052,0,PACKAGE,.,.,auth.config,config,4109,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,36,1,0.0017655994247613052,0,PACKAGE,.,.,com.trainticket.controller,controller,15,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,60,1,0.0017655994247613052,0,PACKAGE,.,.,travel2.config,config,1041,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,1,1,0.5,false,16,1,0.002620202478820902,0,PACKAGE,.,.,contacts.repository,repository,3089,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,7,0,0.0,false,58,1,0.007641214115582915,0,PACKAGE,.,.,auth.entity,entity,4117,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,3,1.0,false,46,1,0.0017655994247613052,0,PACKAGE,.,.,com.trainticket.init,init,23,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,4,0,0.0,false,82,2,0.006098002358384541,0,PACKAGE,.,.,contacts.entity,entity,3097,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0017655994247613052,0,PACKAGE,.,.,com.trainticket.config,config,31,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,3,1,0.2,false,9,1,0.0033123633488743548,0,PACKAGE,.,.,auth.repository,repository,4129,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,42,1,0.0017655994247613052,0,PACKAGE,.,.,adminuser.controller,controller,1058,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,87,7,0.0017655994247613052,0,PACKAGE,.,.,config,config,2084,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,3,1.0,false,67,1,0.0017655994247613052,0,PACKAGE,.,.,contacts.controller,controller,3109,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,2,1,0.5,false,17,2,0.003120455412545359,0,PACKAGE,.,.,com.trainticket.repository,repository,39,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,3,0,0.0,false,7,2,0.003754104836316021,0,PACKAGE,.,.,auth.exception,exception,4137,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.5,false,PACKAGE,2,3,0.7142857142857143,false,74,2,0.0030162317590724476,0,PACKAGE,.,.,com.trainticket.service,service,47,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0017655994247613052,0,PACKAGE,.,.,adminuser.config,config,5167,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,3,3,0.4,false,13,2,0.0030662570524448932,0,PACKAGE,.,.,user.service,service,3122,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,4,0,0.0,false,61,2,0.006523222502786707,0,PACKAGE,.,.,com.trainticket.entity,entity,55,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,5,1.0,false,78,2,0.0017655994247613052,0,PACKAGE,.,.,auth.controller,controller,4153,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,0,1,0.0017655994247613052,0,PACKAGE,.,.,fdse,fdse,6202,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.5,false,PACKAGE,2,3,0.6,false,91,2,0.003266358225934676,0,PACKAGE,.,.,config.service,service,2109,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0017655994247613052,0,PACKAGE,.,.,adminroute.config,config,64,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,0.0,false,56,8,0.0017655994247613052,0,PACKAGE,.,.,fdse.microservice,microservice,6208,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,1,1,0.5,false,17,1,0.0030475040058507005,0,PACKAGE,.,.,train.repository,repository,1090,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,4,1.0,false,119,1,0.0017655994247613052,0,PACKAGE,.,.,other.controller,controller,3138,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,53,1,0.0017655994247613052,0,PACKAGE,.,.,config.controller,controller,2117,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,54,1,0.0017655994247613052,0,PACKAGE,.,.,consignprice.config,config,4170,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,55,1,0.0017655994247613052,0,PACKAGE,.,.,travel.init,init,1101,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,1.0,false,PACKAGE,1,1,0.5,false,10,1,0.0026910725028879297,0,PACKAGE,.,.,config.repository,repository,2125,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,4,0,0.0,false,28,1,0.006479236569249189,0,PACKAGE,.,.,config.entity,entity,2133,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,1,1.0,false,62,1,0.0017655994247613052,0,PACKAGE,.,.,order.config,config,6233,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,1.0,false,19,1,0.0017655994247613052,0,PACKAGE,.,.,config.init,init,2141,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,2,0.0,false,28,5,0.0017655994247613052,0,PACKAGE,.,.,travelplan,travelplan,3173,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.5,false,PACKAGE,2,4,0.8666666666666667,false,445,2,0.002891168525641333,0,PACKAGE,.,.,order.service,service,1133,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,0,3,1.0,false,42,1,0.0017655994247613052,0,PACKAGE,.,.,travelplan.controller,controller,3188,container
trainticket-1.0.0-fa8d9ef,9e332749-db28-4c70-9342-ec4e7708d0a2,1,2023-02-13T12:02:34.104040,0.0,false,PACKAGE,58,0,0.0,false,90,3,0.10665588952295106,0,PACKAGE,.,.,edu.fudan.common.util,util,2170,container
