Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
qbike-1-153cf1a,club.newtech.qbick.gateway,ZuulGateway,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.intention.controller.bean,MyIntention,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-1-153cf1a,club.newtech.qbike.intention.controller.bean,MyIntention,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-1-153cf1a,club.newtech.qbike.intention.controller,RibbonHystrixController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.intention.domain.core.root,Intention,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: mid; startLongitude; startLatitude; destLongitude; destLatitude; customer; status
qbike-1-153cf1a,club.newtech.qbike.intention.domain.core.vo,Customer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; mobile; type
qbike-1-153cf1a,club.newtech.qbike.intention.domain,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-1-153cf1a,club.newtech.qbike,IntentionApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike,EurekaApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.root,Order,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: oid; customer; driver; startLong; startLat; destLong; destLat; opened; orderStatus; intentionId
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,CustomerVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: customerId; customerName; customerMobile
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,DriverVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: driverId; driverName; driverMobile
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,AsyncTaskInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.order,SpringAsyncConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.trip.controller,PositionController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.trip.domain.core.root,DriverStatus,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: dId; driver; currentLongitude; currentLatitude; status; updateTime
qbike-1-153cf1a,club.newtech.qbike.trip.domain.core,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-1-153cf1a,club.newtech.qbike.trip.domain.core.vo,Driver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; userName; mobile; type
qbike-1-153cf1a,club.newtech.qbike.trip.domain.core.vo,Position,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tid; positionLongitude; positionLatitude; status; driverId; uploadTime
qbike-1-153cf1a,club.newtech.qbike.trip,PositionApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.trip,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.client.bean,MyIntention,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-1-153cf1a,club.newtech.qbike.client.bean,MyIntention,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-1-153cf1a,club.newtech.qbike.client.bean,User,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; userName; mobile; province; city; district; street; originAddress; type
qbike-1-153cf1a,club.newtech.qbike.client,RestClientApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.uc.domain.root,Poi,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.uc.domain.root,Poi,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; linkMan; shopName; cellPhone; longitude; latitude; province; city; district; street; streetNumber; shopType; userCode; originAddress
qbike-1-153cf1a,club.newtech.qbike.uc.domain.root,User,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.uc.domain.root,User,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; userName; mobile; province; city; district; street; originAddress; type
qbike-1-153cf1a,club.newtech.qbike.uc.domain,Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-1-153cf1a,club.newtech.qbike.uc,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-1-153cf1a,club.newtech.qbike.uc,UcApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
