Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
qbike-1-153cf1a,club.newtech.qbick.gateway,ZuulGateway,main,3,1,1,10,0,,
qbike-1-153cf1a,club.newtech.qbike.intention.controller,RibbonHystrixController,findById,3,1,1,17,0,,
qbike-1-153cf1a,club.newtech.qbike.intention.controller,RibbonHystrixController,place,3,1,1,22,0,,
qbike-1-153cf1a,club.newtech.qbike.intention.domain.service,IntentionService,placeIntention,7,1,5,24,0,,
qbike-1-153cf1a,club.newtech.qbike.intention.infrastructure,UserRibbonHystrixApi,findById,9,1,1,19,0,,
qbike-1-153cf1a,club.newtech.qbike.intention.infrastructure,UserRibbonHystrixApi,fallback,8,1,1,37,0,,
qbike-1-153cf1a,club.newtech.qbike,IntentionApplication,main,3,1,1,15,0,,
qbike-1-153cf1a,club.newtech.qbike,IntentionApplication,restTemplate,3,1,0,19,0,,
qbike-1-153cf1a,club.newtech.qbike,SwaggerConfig,api,3,1,0,18,0,,
qbike-1-153cf1a,club.newtech.qbike,EurekaApplication,main,3,1,1,14,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,IntentionVo,IntentionVo,9,1,7,25,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,IntentionVo,now,3,1,0,35,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,IntentionVo,getDelay,4,1,1,39,0,club.newtech.qbike.order.domain.core.vo.IntentionVo,club.newtech.qbike.order.domain.core.vo.IntentionVo
qbike-1-153cf1a,club.newtech.qbike.order.domain.core.vo,IntentionVo,compareTo,11,5,1,45,0,club.newtech.qbike.order.domain.core.vo.IntentionVo,club.newtech.qbike.order.domain.core.vo.IntentionVo
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,AsyncTaskInitializer,initialize,3,1,0,13,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,OrderService,generateOrderId,3,1,0,40,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,OrderService,put,4,1,1,45,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,OrderService,handleIntention,27,4,0,50,0,club.newtech.qbike.order.domain.service.OrderService,club.newtech.qbike.order.domain.service.OrderService
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,OrderService,createOrder,16,1,2,86,0,club.newtech.qbike.order.domain.service.OrderService,club.newtech.qbike.order.domain.service.OrderService
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,OrderService,handlePosition,4,1,3,105,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,Receiver,Receiver,3,1,1,11,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,Receiver,receiveMessage,13,2,1,15,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,Receiver,receivePositionUpdate,10,1,1,36,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,set,5,1,3,16,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,set,5,1,4,29,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,generate,4,1,1,43,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,generate,5,1,2,54,0,,
