Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
qbike-1-153cf1a,club.newtech.qbick.gateway,ZuulGateway,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\api-gateway\src\main\java\club\newtech\qbick\gateway\ZuulGateway.java,7
qbike-1-153cf1a,club.newtech.qbike.intention.controller.bean,MyIntention,5,0,0,0,7,0,0,0,-1.0,1,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\controller\bean\MyIntention.java,5
qbike-1-153cf1a,club.newtech.qbike.intention.controller,RibbonHystrixController,2,0,2,2,10,2,0,0,1.0,0,3,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\controller\RibbonHystrixController.java,10
qbike-1-153cf1a,club.newtech.qbike.intention.domain.core.root,Intention,7,0,0,0,9,0,0,0,-1.0,1,2,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\domain\core\root\Intention.java,13
qbike-1-153cf1a,club.newtech.qbike.intention.domain.core.vo,Customer,4,0,0,0,6,0,0,0,-1.0,3,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\domain\core\vo\Customer.java,7
qbike-1-153cf1a,club.newtech.qbike.intention.domain.repository,IntentionRepository,0,0,0,0,2,0,0,0,-1.0,1,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\domain\repository\IntentionRepository.java,6
qbike-1-153cf1a,club.newtech.qbike.intention.domain.service,IntentionService,3,0,1,1,12,1,0,0,0.0,1,5,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\domain\service\IntentionService.java,15
qbike-1-153cf1a,club.newtech.qbike.intention.domain,Status,0,0,0,0,1,0,0,0,-1.0,2,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\domain\Status.java,3
qbike-1-153cf1a,club.newtech.qbike.intention.infrastructure,UserRibbonHystrixApi,2,0,2,2,31,2,0,0,1.0,2,1,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\intention\infrastructure\UserRibbonHystrixApi.java,13
qbike-1-153cf1a,club.newtech.qbike,IntentionApplication,0,0,2,2,12,2,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sharebike\projects\qbike-1-153cf1a\intention\src\main\java\club\newtech\qbike\IntentionApplication.java,11
