Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
qbike-2-66e65c8,club.newtech.qbick.gateway,ZuulGateway,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.controller.bean,IntentionVo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: customerId; startLong; startLat; destLong; destLat; intentionId; driverId
qbike-2-66e65c8,club.newtech.qbike.intention.controller.bean,MyIntention,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-2-66e65c8,club.newtech.qbike.intention.controller.bean,MyIntention,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-2-66e65c8,club.newtech.qbike.intention.controller,RibbonHystrixController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,Candidate,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: cid; intention; driverId; driverName; driverMobile; longitude; latitude; created
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,Customer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: customerId; customerName; customerMobile; userType
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,DriverStatusVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: dId; driver; currentLongitude; currentLatitude; updateTime
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,DriverStatusVo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,DriverStatusVo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: dId; driver; currentLongitude; currentLatitude; updateTime
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,DriverVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; userName; mobile; type
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,IntentionTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.core.vo,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,LockException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,LockExistsException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,LockExistsException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,LockNotHeldException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,LockNotHeldException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,NoSuchLockException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.intention.domain.exception,NoSuchLockException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.service,AsyncTaskInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention.domain.service,RedisLockService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention,IntentionApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention,SpringAsyncConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.intention,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike,EurekaApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.order.domain.core.root,Order,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: oid; customer; driver; startLong; startLat; destLong; destLat; opened; orderStatus; intentionId
qbike-2-66e65c8,club.newtech.qbike.order.domain.core.vo,CustomerVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: customerId; customerName; customerMobile
qbike-2-66e65c8,club.newtech.qbike.order.domain.core.vo,DriverVo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: driverId; driverName; driverMobile
qbike-2-66e65c8,club.newtech.qbike.order.domain.core.vo,IntentionVo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: customerId; startLong; startLat; destLong; destLat; intentionId; driverId
qbike-2-66e65c8,club.newtech.qbike.order.domain.core.vo,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.order.domain.service,AsyncTaskInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.order,OrderApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.order,SpringAsyncConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.trip.controller,PositionController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.trip.domain.core.root,DriverStatus,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: dId; driver; currentLongitude; currentLatitude; status; updateTime
qbike-2-66e65c8,club.newtech.qbike.trip.domain.core,Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.trip.domain.core.vo,Driver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; userName; mobile; type
qbike-2-66e65c8,club.newtech.qbike.trip.domain.core.vo,Position,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tid; positionLongitude; positionLatitude; status; driverId; uploadTime
qbike-2-66e65c8,club.newtech.qbike.trip,PositionApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.trip,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.client.bean,MyIntention,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-2-66e65c8,club.newtech.qbike.client.bean,MyIntention,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: userId; startLongitude; startLatitude; destLongitude; destLatitude
qbike-2-66e65c8,club.newtech.qbike.client.bean,User,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; userName; mobile; province; city; district; street; originAddress; type
qbike-2-66e65c8,club.newtech.qbike.client,RestClientApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.uc.domain.root,Poi,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.uc.domain.root,Poi,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; linkMan; shopName; cellPhone; longitude; latitude; province; city; district; street; streetNumber; shopType; userCode; originAddress
qbike-2-66e65c8,club.newtech.qbike.uc.domain.root,User,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.uc.domain.root,User,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; userName; mobile; province; city; district; street; originAddress; type
qbike-2-66e65c8,club.newtech.qbike.uc.domain,Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
qbike-2-66e65c8,club.newtech.qbike.uc,SwaggerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
qbike-2-66e65c8,club.newtech.qbike.uc,UcApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
