Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
qbike-3-a5d631e,club.newtech.qbike.intention.controller,RibbonHystrixController,place,Long Statement,The length of the statement "intentionService.placeIntention(myIntention.getUserId()`myIntention.getStartLongitude()`myIntention.getStartLatitude()`myIntention.getDestLongitude()`myIntention.getDestLatitude());" is 181.,33
qbike-3-a5d631e,club.newtech.qbike.intention.domain.core.root,Intention,confirmIntention,Magic Number,The method contains a magic number: 2,80
qbike-3-a5d631e,club.newtech.qbike.intention.domain.core.root,Intention,confirmIntention,Magic Number,The method contains a magic number: 3,80
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,placeIntention,Long Parameter List,The method has 5 parameters. ,63
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,placeIntention,Long Statement,The length of the statement "Intention intention=new Intention().setStartLongitude(startLongitude).setStartLatitude(startLatitude).setDestLongitude(destLongitude).setDestLatitude(destLatitude).setCustomer(customer).setStatus(Status.Inited);" is 211.,63
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,placeIntention,Magic Number,The method contains a magic number: 2L,63
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,confirmIntention,Long Statement,The length of the statement "IntentionVo intentionVo=new IntentionVo().setIntentionId(intention.getMid()).setCustomerId(intention.getCustomer().getCustomerId()).setDestLat(intention.getDestLatitude()).setDestLong(intention.getDestLongitude()).setStartLong(intention.getStartLongitude()).setStartLat(intention.getStartLatitude()).setDriverId(intention.getSelectedDriver().getId());" is 351.,89
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,retryMatch,Magic Number,The method contains a magic number: 5,164
qbike-3-a5d631e,club.newtech.qbike.intention.domain.service,IntentionService,retryMatch,Magic Number,The method contains a magic number: 2,164
qbike-3-a5d631e,club.newtech.qbike.intention.infrastructure,PositionApi,match,Long Statement,The length of the statement "ResponseEntity<Collection<DriverStatusVo>> matchReponse=restTemplate.exchange(String.format("http://qbike-trip/trips/match?longitude=%s&latitude=%s"`longitude`latitude)`HttpMethod.GET`null`new ParameterizedTypeReference<Collection<DriverStatusVo>>(){" is 250.,23
qbike-3-a5d631e,club.newtech.qbike.intention,SpringAsyncConfig,taskExecutor,Magic Number,The method contains a magic number: 10,12
qbike-3-a5d631e,club.newtech.qbike.intention,SwaggerConfig,api,Long Statement,The length of the statement "return new Docket(DocumentationType.SWAGGER_2).select().apis(RequestHandlerSelectors.any()).paths(PathSelectors.any()).build();" is 127.,18
qbike-3-a5d631e,club.newtech.qbike.intention,IntentionTest,saveIntention,Magic Number,The method contains a magic number: 1032,26
qbike-3-a5d631e,club.newtech.qbike.intention,IntentionTest,saveIntention,Magic Number,The method contains a magic number: 100,26
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,FsmService,changeState,Long Statement,The length of the statement "LOGGER.error(String.format("æ— æ³•ä»ŽçŠ¶æ€?[%s]è½¬å?‘ => [%s]"`FlowState.forValue(order.getOrderStatus())`request.getEvent()));" is 127.,25
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,OrderService,cancel,Magic Number,The method contains a magic number: 3,67
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,OrderService,cancel,Magic Number,The method contains a magic number: 60,67
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,OrderService,cancel,Magic Number,The method contains a magic number: 1000L,67
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,OrderStateMachineBuilder,build,Long Statement,The length of the statement "builder.configureStates().withStates().initial(initState).end(FlowState.CLOSED).end(FlowState.CANCELED).states(EnumSet.allOf(FlowState.class));" is 143.,27
qbike-3-a5d631e,club.newtech.qbike.order.domain.service,OrderStateMachineBuilder,build,Long Statement,The length of the statement "builder.configureTransitions().withExternal().source(FlowState.WAITING_ABOARD).target(FlowState.WAITING_ARRIVE).event(Events.ABOARD).action(aboard()`errorAction).and().withExternal().source(FlowState.WAITING_ABOARD).target(FlowState.CANCELED).event(Events.CANCEL).action(cancel()`errorAction).and().withExternal().source(FlowState.WAITING_ARRIVE).target(FlowState.UNPAY).event(Events.ARRIVE).and().withExternal().source(FlowState.UNPAY).target(FlowState.PAYING).event(Events.PAY).and().withExternal().source(FlowState.PAYING).target(FlowState.WAITING_COMMENT).event(Events.PAY_CALLBACK).and().withExternal().source(FlowState.WAITING_COMMENT).target(FlowState.CLOSED).event(Events.COMMENT);" is 689.,27
qbike-3-a5d631e,club.newtech.qbike.order,SpringAsyncConfig,taskExecutor,Magic Number,The method contains a magic number: 10,12
qbike-3-a5d631e,club.newtech.qbike.order,SwaggerConfig,api,Long Statement,The length of the statement "return new Docket(DocumentationType.SWAGGER_2).select().apis(RequestHandlerSelectors.any()).paths(PathSelectors.any()).build();" is 127.,18
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,changeState,Magic Number,The method contains a magic number: 96,28
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 84,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 96,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 118.71334176065,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 32.012518207527,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 118.81722069709,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 32.007969136143,41
qbike-3-a5d631e,club.newtech.qbike.order,OrderTest,createAndChange,Magic Number,The method contains a magic number: 96,41
qbike-3-a5d631e,club.newtech.qbike.trip.domain.service,PositionService,matchDriver,Magic Number,The method contains a magic number: 500,77
