Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
qbike-5-47301e2,club.newtech.qbick.gateway,ZuulGateway,main,3,1,1,10,0,,
qbike-5-47301e2,club.newtech.qbike.intention.controller,RibbonHystrixController,findById,3,1,1,23,0,,
qbike-5-47301e2,club.newtech.qbike.intention.controller,RibbonHystrixController,match,3,1,2,28,0,,
qbike-5-47301e2,club.newtech.qbike.intention.controller,RibbonHystrixController,place,3,1,1,33,0,,
qbike-5-47301e2,club.newtech.qbike.intention.controller,RibbonHystrixController,confirm,3,1,2,41,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.root,Intention,canMatchDriver,8,2,0,44,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.root,Intention,canConfirm,8,2,0,52,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.root,Intention,waitingConfirm,10,2,0,60,0,club.newtech.qbike.intention.domain.core.root.Intention,club.newtech.qbike.intention.domain.core.root.Intention
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.root,Intention,fail,10,2,0,70,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.root,Intention,confirmIntention,17,4,1,80,0,club.newtech.qbike.intention.domain.core.root.Intention,club.newtech.qbike.intention.domain.core.root.Intention
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,IntentionTask,IntentionTask,5,1,4,24,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,IntentionTask,now,3,1,0,31,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,IntentionTask,getDelay,4,1,1,35,0,club.newtech.qbike.intention.domain.core.vo.IntentionTask,club.newtech.qbike.intention.domain.core.vo.IntentionTask
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,IntentionTask,compareTo,11,5,1,41,0,club.newtech.qbike.intention.domain.core.vo.IntentionTask,club.newtech.qbike.intention.domain.core.vo.IntentionTask
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,Lock,isExpired,3,1,0,30,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.core.vo,Lock,compareTo,3,1,1,34,0,,
qbike-5-47301e2,club.newtech.qbike.intention.domain.service,AsyncTaskInitializer,initialize,3,1,0,13,0,,
