Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,start,9,3,1,73,0,com.sitewhere.activemq.ActiveMQClientEventReceiver,com.sitewhere.activemq.ActiveMQClientEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,startConsumers,11,2,0,84,0,com.sitewhere.activemq.ActiveMQClientEventReceiver,com.sitewhere.activemq.ActiveMQClientEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,stop,3,1,1,108,0,com.sitewhere.activemq.ActiveMQClientEventReceiver,com.sitewhere.activemq.ActiveMQClientEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,stopConsumers,6,2,0,113,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,getLogger,3,1,0,130,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,getDisplayName,3,1,0,141,0,com.sitewhere.activemq.ActiveMQClientEventReceiver,com.sitewhere.activemq.ActiveMQClientEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,getRemoteUri,3,1,0,247,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,setRemoteUri,3,1,1,251,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,getQueueName,3,1,0,255,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,setQueueName,3,1,1,259,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,getNumConsumers,3,1,0,263,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,setNumConsumers,3,1,1,267,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,ActiveMQInboundEventReceiver,3,1,0,80,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,start,33,6,1,91,0,com.sitewhere.activemq.ActiveMQInboundEventReceiver,com.sitewhere.activemq.ActiveMQInboundEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getLogger,3,1,0,130,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getDisplayName,3,1,0,141,0,com.sitewhere.activemq.ActiveMQInboundEventReceiver,com.sitewhere.activemq.ActiveMQInboundEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,startConsumers,11,2,0,146,0,com.sitewhere.activemq.ActiveMQInboundEventReceiver,com.sitewhere.activemq.ActiveMQInboundEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,stop,11,2,1,170,0,com.sitewhere.activemq.ActiveMQInboundEventReceiver,com.sitewhere.activemq.ActiveMQInboundEventReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,stopConsumers,6,2,0,182,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getBrokerName,3,1,0,296,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,setBrokerName,3,1,1,300,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getTransportUri,3,1,0,304,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,setTransportUri,3,1,1,308,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getQueueName,3,1,0,312,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,setQueueName,3,1,1,316,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getDataDirectory,3,1,0,320,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,setDataDirectory,3,1,1,324,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,getNumConsumers,3,1,0,328,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,setNumConsumers,3,1,1,332,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,start,15,3,1,61,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onMeasurementsNotFiltered,3,1,1,89,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onLocationNotFiltered,3,1,1,100,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onAlertNotFiltered,3,1,1,111,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onStateChangeNotFiltered,3,1,1,123,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onCommandInvocationNotFiltered,3,1,1,135,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,onCommandResponseNotFiltered,3,1,1,147,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,sendSqsMessage,7,1,1,152,0,com.sitewhere.aws.SqsOutboundEventProcessor,com.sitewhere.aws.SqsOutboundEventProcessor
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,getLogger,3,1,0,171,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,getSqs,3,1,0,176,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,setSqs,3,1,1,180,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,getAccessKey,3,1,0,184,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,setAccessKey,3,1,1,188,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,getSecretKey,3,1,0,192,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,setSecretKey,3,1,1,196,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,getQueueUrl,3,1,0,200,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,setQueueUrl,3,1,1,204,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,ConnectionStringBuilder,4,1,1,43,0,com.sitewhere.azure.device.communication.client.ConnectionStringBuilder,com.sitewhere.azure.device.communication.client.ConnectionStringBuilder
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,getHost,3,1,0,48,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,setHost,3,1,1,52,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,getPort,3,1,0,56,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,setPort,3,1,1,60,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,getUserName,3,1,0,64,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,setUserName,3,1,1,68,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,getPassword,3,1,0,72,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,setPassword,3,1,1,76,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,getSsl,3,1,0,80,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,setSsl,3,1,1,84,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,initialize,22,3,0,88,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,EventData,4,1,2,34,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,EventData,5,1,3,39,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,create,3,1,2,45,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,create,3,1,3,49,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,getMessage,3,1,0,53,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,getMessageId,3,1,0,57,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,getEnqueueTime,3,1,0,61,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,compareTo,3,1,1,65,0,com.sitewhere.azure.device.communication.client.EventData,com.sitewhere.azure.device.communication.client.EventData
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,EventHubClient,5,1,2,43,0,com.sitewhere.azure.device.communication.client.EventHubClient,com.sitewhere.azure.device.communication.client.EventHubClient
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,create,3,1,2,49,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,createPartitionSender,3,1,1,66,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,getDefaultConsumerGroup,3,1,0,70,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,close,8,1,0,74,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,createConnection,14,1,0,82,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubConsumerGroup,EventHubConsumerGroup,5,1,3,39,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubConsumerGroup,createReceiver,8,2,3,45,0,com.sitewhere.azure.device.communication.client.EventHubConsumerGroup,com.sitewhere.azure.device.communication.client.EventHubConsumerGroup
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubConsumerGroup,createReceiver,5,1,3,58,0,com.sitewhere.azure.device.communication.client.EventHubConsumerGroup,com.sitewhere.azure.device.communication.client.EventHubConsumerGroup
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubConsumerGroup,close,5,2,0,67,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubConsumerGroup,ensureSessionCreated,10,2,0,73,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubException,EventHubException,3,1,0,31,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubException,EventHubException,3,1,1,35,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubException,EventHubException,3,1,1,39,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubException,EventHubException,3,1,2,43,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,EventHubReceiver,11,1,6,53,0,com.sitewhere.azure.device.communication.client.EventHubReceiver,com.sitewhere.azure.device.communication.client.EventHubReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,receive,3,1,0,70,0,com.sitewhere.azure.device.communication.client.EventHubReceiver,com.sitewhere.azure.device.communication.client.EventHubReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,receive,12,2,1,74,0,com.sitewhere.azure.device.communication.client.EventHubReceiver,com.sitewhere.azure.device.communication.client.EventHubReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,close,6,2,0,93,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,getConsumerAddress,3,1,0,100,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,ensureReceiverCreated,10,1,0,104,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,checkError,17,2,0,115,0,com.sitewhere.azure.device.communication.client.EventHubReceiver,com.sitewhere.azure.device.communication.client.EventHubReceiver
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiver,checkIfClosed,5,2,0,133,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,EventHubReceiverFilter,2,1,0,31,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,EventHubReceiverFilter,3,1,1,35,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,EventHubReceiverFilter,3,1,1,40,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,setOffset,3,1,1,45,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,setEnqueueTime,3,1,1,49,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,getOffset,3,1,0,53,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverFilter,getEnqueueTime,3,1,0,58,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,EventHubReceiverImpl,6,1,2,51,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,open,17,3,1,58,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,close,7,2,0,79,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,isOpen,3,1,0,88,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,receive,9,2,1,93,0,com.sitewhere.azure.device.communication.client.EventHubReceiverImpl,com.sitewhere.azure.device.communication.client.EventHubReceiverImpl
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,createMessageId,17,5,1,112,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,getEnqueueTime,13,4,1,135,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,getMetricsData,4,1,0,152,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,EventHubReceiverTask,3,1,1,50,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,EventHubReceiverTask,25,3,4,54,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,create,3,1,4,65,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,create,3,1,2,75,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,preparePartitions,11,3,3,84,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,open,14,1,1,106,0,com.sitewhere.azure.device.communication.client.EventHubReceiverTask,com.sitewhere.azure.device.communication.client.EventHubReceiverTask
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,receive,22,5,0,122,0,com.sitewhere.azure.device.communication.client.EventHubReceiverTask,com.sitewhere.azure.device.communication.client.EventHubReceiverTask
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,ack,6,1,1,155,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,fail,6,1,1,162,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,deactivate,3,1,0,169,0,com.sitewhere.azure.device.communication.client.EventHubReceiverTask,com.sitewhere.azure.device.communication.client.EventHubReceiverTask
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,close,7,2,0,175,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,checkpointIfNeeded,7,2,0,183,0,com.sitewhere.azure.device.communication.client.EventHubReceiverTask,com.sitewhere.azure.device.communication.client.EventHubReceiverTask
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,checkpoint,5,2,0,192,0,,
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,getZkConnectionString,3,1,0,42,0,,
