Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver,11,0,12,10,182,16,0,0,0.0,0,1,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQClientEventReceiver.java,37
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver.ConsumersThreadFactory,1,0,0,0,12,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQClientEventReceiver.java,146
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQClientEventReceiver.Consumer,3,0,0,0,75,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQClientEventReceiver.java,157
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver,14,0,17,15,242,25,0,0,0.0,0,2,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQInboundEventReceiver.java,42
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver.ConsumersThreadFactory,1,0,0,0,12,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQInboundEventReceiver.java,194
sitewhere-1.11.0-d8df31a,com.sitewhere.activemq,ActiveMQInboundEventReceiver.Consumer,3,0,0,0,76,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-activemq\src\main\java\com\sitewhere\activemq\ActiveMQInboundEventReceiver.java,205
sitewhere-1.11.0-d8df31a,com.sitewhere.aws,SqsOutboundEventProcessor,5,0,17,16,98,19,0,0,0.0,1,9,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-aws\src\main\java\com\sitewhere\aws\SqsOutboundEventProcessor.java,32
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,6,0,12,11,69,14,0,0,0.0,1,2,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-azure\src\main\java\com\sitewhere\azure\device\communication\client\ConnectionStringBuilder.java,30
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder.NullURLStreamHandler,0,0,0,0,5,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-azure\src\main\java\com\sitewhere\azure\device\communication\client\ConnectionStringBuilder.java,115
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,Constants,12,12,0,0,14,0,0,0,-1.0,10,0,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-azure\src\main\java\com\sitewhere\azure\device\communication\client\Constants.java,27
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventData,3,0,8,8,32,8,0,0,0.0,7,1,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-azure\src\main\java\com\sitewhere\azure\device\communication\client\EventData.java,29
sitewhere-1.11.0-d8df31a,com.sitewhere.azure.device.communication.client,EventHubClient,6,0,6,4,51,6,0,0,0.0,2,5,C:\Users\ale\Desktop\arcan-trial-2.8.2-sitewhere\projects\sitewhere-1.11.0-d8df31a\sitewhere-azure\src\main\java\com\sitewhere\azure\device\communication\client\EventHubClient.java,33
