Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQClientEventReceiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQClientEventReceiver.ConsumersThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQClientEventReceiver.ConsumersThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQClientEventReceiver.Consumer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: connection; session; consumer
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQClientEventReceiver.Consumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQInboundEventReceiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQInboundEventReceiver.ConsumersThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQInboundEventReceiver.ConsumersThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQInboundEventReceiver.Consumer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: connection; session; consumer
sitewhere-1.13.0-b85bf70,com.sitewhere.activemq,ActiveMQInboundEventReceiver.Consumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder.NullURLStreamHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder.NullURLStreamHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DefaultStartingOffset; SelectorFilterName; OffsetFilterFormatString; EnqueueTimeFilterFormatString; ConsumerAddressFormatString; DestinationAddressFormatString; SslScheme; DefaultPort; DefaultSslPort; AmqpPayloadKey; TotalTaskKey; TaskIndexKey
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DefaultStartingOffset; SelectorFilterName; OffsetFilterFormatString; EnqueueTimeFilterFormatString; ConsumerAddressFormatString; DestinationAddressFormatString; SslScheme; DefaultPort; DefaultSslPort; AmqpPayloadKey; TotalTaskKey; TaskIndexKey
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
