Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sitewhere-1.13.0-b85bf70,com.sitewhere.aws,SqsOutboundEventProcessor,start,Magic Number,The method contains a magic number: 250,61
sitewhere-1.13.0-b85bf70,com.sitewhere.aws,SqsOutboundEventProcessor,start,Magic Number,The method contains a magic number: 5,61
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,ConnectionStringBuilder,initialize,Magic Number,The method contains a magic number: 2,88
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubClient,createConnection,Long Statement,The length of the statement "clientConnection=new Connection(connectionStringBuilder.getHost()`connectionStringBuilder.getPort()`connectionStringBuilder.getUserName()`connectionStringBuilder.getPassword()`connectionStringBuilder.getHost()`connectionStringBuilder.getSsl());" is 244.,82
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiver,EventHubReceiver,Long Parameter List,The method has 6 parameters. ,53
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiver,EventHubReceiver,Long Statement,The length of the statement "this.filters=Collections.singletonMap(Symbol.valueOf(Constants.SelectorFilterName)`(Filter)new SelectorFilter(filterStr));" is 122.,53
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiver,checkError,Magic Number,The method contains a magic number: 10,115
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,open,Long Statement,The length of the statement "logger.info("creating eventhub receiver: partitionId=" + partitionId + "` offset="+ filter.getOffset()+ "` enqueueTime="+ filter.getEnqueueTime());" is 147.,58
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,open,Long Statement,The length of the statement "receiver=eventHubClient.getDefaultConsumerGroup().createReceiver(partitionId`Constants.DefaultStartingOffset`defaultCredits);" is 125.,58
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,EventHubReceiverTask,Long Statement,The length of the statement "@Override public IPartitionManager create( EventHubReceiverTaskConfig config` String partitionId` IStateStore stateStore` IEventHubReceiver receiver){" is 150.,54
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,preparePartitions,Long Statement,The length of the statement "partitionCoordinator=new StaticPartitionCoordinator(eventHubConfig`taskIndex`totalTasks`stateStore`pmFactory`recvFactory);" is 122.,84
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,checkpointIfNeeded,Magic Number,The method contains a magic number: 1000,183
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Long Parameter List,The method has 6 parameters. ,56
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Magic Number,The method contains a magic number: 300,56
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Magic Number,The method contains a magic number: 1024,56
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Magic Number,The method contains a magic number: 1024,56
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Long Parameter List,The method has 8 parameters. ,62
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Long Statement,The length of the statement "this(username`password`namespace`entityPath`partitionCount`storeConnectionString`checkpointIntervalInSeconds`receiverCredits`1024`0);" is 133.,62
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Magic Number,The method contains a magic number: 1024,62
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTaskConfig,EventHubReceiverTaskConfig,Long Parameter List,The method has 10 parameters. ,68
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Long Statement,The length of the statement "throw new IllegalArgumentException("arguments are missing. [username] [password] [namespace] [entityPath] [partitionId] [messageSize] [messageCount] are required.");" is 165.,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 7,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 2,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 3,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 4,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 5,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 6,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubSendClient,main,Magic Number,The method contains a magic number: 1000,29
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,MessageId,toString,Long Statement,The length of the statement "return String.format("PartitionId: %s` Offset: %s` SequenceNumber: %s"`this.partitionId`this.offset`this.sequenceNumber);" is 121.,55
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,SelectorFilterWriter,getDescriptor,Magic Number,The method contains a magic number: 0x00000137000000AL,61
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,SimplePartitionManager,receive,Magic Number,The method contains a magic number: 5000,97
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,StaticPartitionCoordinator,StaticPartitionCoordinator,Long Parameter List,The method has 6 parameters. ,46
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,ZookeeperStateStore,ZookeeperStateStore,Magic Number,The method contains a magic number: 3,41
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,ZookeeperStateStore,ZookeeperStateStore,Magic Number,The method contains a magic number: 100,41
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.test,EventHubReceiverTest,singleThreadReceiveTest,Long Statement,The length of the statement "System.out.println("Message received: Partition->" + data.getMessageId().getPartitionId() + " Sequence No.->"+ data.getMessageId().getSequenceNumber()+ " Offset->"+ data.getMessageId().getOffset());" is 198.,59
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.test,EventHubTest,sendEvent,Magic Number,The method contains a magic number: 100,33
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,SiteWhereClient,Long Parameter List,The method has 5 parameters. ,141
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listDeviceSpecifications,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "specifications?includeDeleted={includeDeleted}&includeAsset={includeAsset}&" + getSearchCriteriaFields(criteria)`HttpMethod.GET`null`DeviceSpecificationSearchResults.class`vars);" is 210.,251
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,deleteDeviceSpecification,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "specifications/{token}&force={force}"`HttpMethod.DELETE`null`DeviceSpecification.class`vars);" is 125.,271
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listDeviceCommands,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "specifications/{token}/commands?includeDeleted={includeDeleted}"`HttpMethod.GET`null`DeviceCommandSearchResults.class`vars);" is 156.,304
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listDevices,Long Parameter List,The method has 5 parameters. ,410
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listDevices,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "devices?includeDeleted={includeDeleted}" + "&excludeAssigned={excludeAssigned}&includeSpecification={includeSpecification}"+ "&includeAssignment={includeAssignment}&"+ getSearchCriteriaFields(criteria)`HttpMethod.GET`null`DeviceSearchResults.class`vars);" is 286.,410
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,getCurrentAssignmentForDevice,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "devices/{hardwareId}/assignment?includeAsset=false&includeDevice=false&includeSite=false"`HttpMethod.GET`null`DeviceAssignment.class`vars);" is 171.,449
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listAssignmentsForSite,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "sites/" + token+ "/assignments?includeDevice=true"`HttpMethod.GET`null`DeviceAssignmentSearchResults.class`vars);" is 145.,493
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,listDeviceAssignmentHistory,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "devices/{hardwareId}/assignments"`HttpMethod.GET`null`DeviceAssignmentSearchResults.class`vars);" is 128.,523
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,getAssignmentsForAsset,Long Parameter List,The method has 5 parameters. ,539
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,createDeviceMeasurements,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "assignments/{token}/measurements"`HttpMethod.POST`request`DeviceMeasurements.class`vars);" is 121.,596
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,createDeviceCommandInvocation,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "assignments/{token}/invocations"`HttpMethod.POST`request`DeviceCommandInvocation.class`vars);" is 125.,698
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,addDeviceStreamData,Long Statement,The length of the statement "sendBinary(getBaseUrl() + "assignments/{token}/streams/{streamId}?sequenceNumber={sequenceNumber}"`HttpMethod.POST`data`null`vars);" is 131.,779
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,getDeviceStreamData,Long Statement,The length of the statement "return sendRestWithBinaryResponse(getBaseUrl() + "assignments/{token}/streams/{streamId}/data/{sequenceNumber}"`HttpMethod.GET`vars);" is 133.,797
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,addDeviceGroupElements,Long Statement,The length of the statement "return sendRest(getBaseUrl() + "devicegroups/{token}/elements"`HttpMethod.PUT`elements`DeviceGroupElementSearchResults.class`vars);" is 131.,915
