Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-1.13.0-b85bf70,com.sitewhere.aws,SqsOutboundEventProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DefaultStartingOffset; SelectorFilterName; OffsetFilterFormatString; EnqueueTimeFilterFormatString; ConsumerAddressFormatString; DestinationAddressFormatString; SslScheme; DefaultPort; DefaultSslPort; AmqpPayloadKey; TotalTaskKey; TaskIndexKey
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,EventHubReceiverTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication.client,FieldConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PartitionKey; Offset; Message
sitewhere-1.13.0-b85bf70,com.sitewhere.azure.device.communication,EventHubOutboundEventProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_BASE_URL; DEFAULT_USERNAME; DEFAULT_PASSWORD; DEFAULT_TENANT_AUTH_TOKEN; DEFAULT_CONNECT_TIMEOUT; DEBUG_ENABLED
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.client,SiteWhereClient.HttpEntityEnclosingDeleteRequest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-1.13.0-b85bf70,com.sitewhere.rest.test,SiteWhereClientTester.TestResults,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-1.13.0-b85bf70,com.sitewhere.spi,ISiteWhereClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
sitewhere-1.13.0-b85bf70,com.sitewhere.test,ApiTests,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TEST_SPECIFICATION_TOKEN; TEST_HARDWARE_ID; TEST_ASSET_ID; TEST_SITE_TOKEN; ANDROID_SPEC_TOKEN
