Project Name,Package Name,Architecture Smell,Cause of the Smell
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ws,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
sitewhere-2.0.0-cb30939,com.sitewhere.asset.persistence.mongodb,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetManagementMongoClient; IAssetManagementMongoClient; MongoAssetManagement; MongoAssetType; MongoAsset]; [MongoConverters]. LCC (Lack of Component Cohesion) = 0.33
sitewhere-2.0.0-cb30939,com.sitewhere.batch,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchManagementTriggers; BatchManagementDecorator]; [BatchOperationManager; BatchOperationTypes]; [BatchOperationManager.BatchOperationCreator]; [BatchOperationManager.BatchOperationInitializer]; [BatchOperationManager.BatchElementProcessor]; [BatchOperationManager.ProcessorsThreadFactory]; [BatchOperationsApplication]; [BatchUtils]. LCC (Lack of Component Cohesion) = 0.8
sitewhere-2.0.0-cb30939,com.sitewhere.batch.persistence,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sitewhere.batch
sitewhere-2.0.0-cb30939,com.sitewhere.batch.persistence.mongodb,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchManagementMongoClient; IBatchManagementMongoClient; MongoBatchManagement; MongoBatchOperation; MongoBatchElement]; [MongoConverters]. LCC (Lack of Component Cohesion) = 0.33
sitewhere-2.0.0-cb30939,com.sitewhere.commands,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommandDeliveryApplication]; [DefaultCommandExecutionBuilder]; [DefaultCommandProcessingStrategy; NestedDeviceSupport]; [DefaultCommandTargetResolver]; [NestedDeviceSupport.NestedDeviceInformation]; [NullParameters; NullParameters.Extractor]. LCC (Lack of Component Cohesion) = 0.75
sitewhere-2.0.0-cb30939,com.sitewhere.commands.spi,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommandEncodeException]; [ICommandDeliveryParameterExtractor; ICommandDestination; ICommandExecutionEncoder; ICommandDeliveryProvider]; [ICommandDestinationsManager]; [ICommandExecutionBuilder]; [ICommandProcessingStrategy; ICommandTargetResolver]; [IOutboundCommandRouter]. LCC (Lack of Component Cohesion) = 0.6
sitewhere-2.0.0-cb30939,com.sitewhere.registration.kafka,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DeviceRegistrationEventsConsumer]; [DeviceRegistrationEventsConsumer.DeviceRegistrationProcessor]; [DeviceRegistrationEventsConsumer.DeviceRegistrationProcessorThreadFactory]; [UnregisteredEventsConsumer]; [UnregisteredEventsConsumer.UnregisteredDeviceEventProcessor]; [UnregisteredEventsConsumer.UnregisteredEventProcessorThreadFactory]. LCC (Lack of Component Cohesion) = 1.0
sitewhere-2.0.0-cb30939,com.sitewhere.event.persistence.mongodb,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DeviceEventBuffer; IDeviceEventBuffer; MongoDeviceEventManagement; MongoDeviceEventManagementPersistence; MongoDeviceLocation; MongoDeviceMeasurement; MongoDeviceStateChange; DeviceEventManagementMongoClient; IDeviceEventManagementMongoClient; MongoDeviceAlert; MongoDeviceEvent; MongoDeviceCommandInvocation; MongoDeviceCommandResponse]; [DeviceEventBuffer.EventSender]; [MongoConverters]. LCC (Lack of Component Cohesion) = 0.2
sitewhere-2.0.0-cb30939,com.sitewhere.sources.activemq,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActiveMQBrokerEventReceiver]; [ActiveMQBrokerEventReceiver.ConsumersThreadFactory]; [ActiveMQBrokerEventReceiver.Consumer]; [ActiveMQClientEventReceiver]; [ActiveMQClientEventReceiver.ConsumersThreadFactory]; [ActiveMQClientEventReceiver.Consumer]. LCC (Lack of Component Cohesion) = 1.0
