Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sitewhere-2.0.0-cb30939,com.sitewhere.asset.configuration,AssetManagementModelProvider,createAssetManagement,Long Statement,The length of the statement "ElementNode.Builder builder=new ElementNode.Builder("Asset Management API"`IAssetManagementParser.ROOT`"tag"`AssetManagementRoleKeys.AssetManagement`this);" is 155.,70
sitewhere-2.0.0-cb30939,com.sitewhere.asset.grpc,AssetManagementImpl,updateAssetType,Long Statement,The length of the statement "IAssetType apiResult=getAssetManagement().updateAssetType(CommonModelConverter.asApiUuid(request.getAssetTypeId())`apiRequest);" is 127.,97
sitewhere-2.0.0-cb30939,com.sitewhere.asset.grpc,AssetManagementImpl,listAssetTypes,Long Statement,The length of the statement "ISearchResults<IAssetType> apiResult=getAssetManagement().listAssetTypes(AssetModelConverter.asApiAssetTypeSearchCriteria(request.getCriteria()));" is 146.,194
sitewhere-2.0.0-cb30939,com.sitewhere.asset.grpc,AssetManagementImpl,listAssets,Long Statement,The length of the statement "ISearchResults<IAsset> apiResult=getAssetManagement().listAssets(AssetModelConverter.asApiAssetSearchCriteria(request.getCriteria()));" is 134.,341
sitewhere-2.0.0-cb30939,com.sitewhere.asset.microservice,AssetManagementTenantEngine,tenantBootstrap,Long Statement,The length of the statement "SecurityContextHolder.getContext().setAuthentication(getMicroservice().getSystemUser().getAuthenticationForTenant(getTenant()));" is 128.,116
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Complex Method,Cyclomatic complexity of the method is 10,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x0f,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xf0,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 6,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 6,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xfc,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x3f,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x0f,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xf0,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,167
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Complex Method,Cyclomatic complexity of the method is 8,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 3,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 6,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,294
sitewhere-2.0.0-cb30939,com.sitewhere.asset.modules.wso2.ksoap2,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,294
