Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.ksoap2,Wso2SoapClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CARBON_NAMESPACE; WSO2_HOST; WSO2_PORT; WSO2_SERVICE
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.scim,IScimFields,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESOURCES; ID; USERNAME; NAME; FAMILY_NAME; GIVEN_NAME; PROFILE_URL; EMAILS; GROUPS; DISPLAY
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.scim,IWso2ScimFields,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ASSET_ID; PROP_NAME; PROP_USERNAME; PROP_EMAIL_ADDRESS; PROP_PROFILE_URL
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.ws,ObjectFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 65
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.ws,RemoteUserStoreManagerService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WSDL_LOCATION; SERVICE; RemoteUserStoreManagerServiceHttpsSoap12Endpoint; RemoteUserStoreManagerServiceHttpsEndpoint; RemoteUserStoreManagerServiceHttpsSoap11Endpoint
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.modules.wso2.ws,RemoteUserStoreManagerServiceUserStoreException_Exception,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: serialVersionUID
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.persistence.mongodb,IAssetManagementMongoClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ASSET_TYPES_COLLECTION_NAME; DEFAULT_ASSETS_COLLECTION_NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.persistence.mongodb,MongoAsset,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ASSET_TYPE_ID; PROP_NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.persistence.mongodb,MongoAssetManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.persistence.mongodb,MongoAssetType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_DESCRIPTION; PROP_ASSET_CATEGORY
