Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementApplication,getMicroservice,3,1,0,34,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementApplication,main,3,1,1,39,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,AssetManagementDecorator,3,1,1,32,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,createAsset,3,1,1,41,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,updateAsset,3,1,2,50,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,getAsset,3,1,1,58,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,getAssetByToken,3,1,1,67,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,deleteAsset,3,1,1,75,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,listAssets,3,1,1,85,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,createAssetType,3,1,1,95,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,updateAssetType,3,1,2,104,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,getAssetType,3,1,1,112,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,getAssetTypeByToken,3,1,1,121,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,deleteAssetType,3,1,1,129,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset,AssetManagementDecorator,listAssetTypes,3,1,1,139,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,getDefaultXmlNamespace,3,1,0,27,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,getRootRole,3,1,0,36,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,initializeElements,3,1,0,45,0,com.sitewhere.asset.configuration.AssetManagementModelProvider,com.sitewhere.asset.configuration.AssetManagementModelProvider
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,initializeRoles,5,2,0,54,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,initializeDependencies,3,1,0,65,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.configuration,AssetManagementModelProvider,createAssetManagement,5,1,0,70,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementGrpcServer,AssetManagementGrpcServer,3,1,1,22,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,AssetManagementImpl,4,1,2,64,0,,
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,createAssetType,17,1,2,74,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,updateAssetType,17,1,2,97,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetTypeById,18,2,2,121,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetTypeByToken,18,2,2,146,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,deleteAssetType,16,1,2,171,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-2.1.0-0c184b5,com.sitewhere.asset.grpc,AssetManagementImpl,listAssetTypes,21,2,2,194,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
