Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doJMSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doMultithreadedJmsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doActiveMqClientTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doActiveMqClientSend,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doAzureEventSourceSendTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourceTests,doRabbitMQTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doInteractiveSocketTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doSocketTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doSocketTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doOssTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doLoraTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doMqttTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,doMqttTest,Empty test,The tool detected the smell in this test method because the test is empty.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.websocket,WebSocketServerTest,startWebSocketServer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,testRegisterDevice,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,testAddDeviceMeasurements,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,testAddDeviceAlert,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,testAddDeviceLocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,testAddAcknowledgement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,sendSilecticaRules,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.coap,CoapTests,sendSilecticaRuleAckPayloadOnly,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.communication.test.mqtt,MqttTests,runMqttTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
sitewhere-2.1.0-0c184b5,com.sitewhere.mongodb.test,MongoTests,testAuthentication,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
