Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.asset,AssetManagementApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementTenantEngineModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementGrpcServer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.messages,AssetManagementMessages,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.messages,AssetManagementMessages,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.microservice,AssetManagementMicroservice,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.microservice,AssetManagementTenantEngine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb.entity,Queries,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: QUERY_ASSET_BY_TOKEN; QUERY_ASSET_TYPE_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb.entity,Queries,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: QUERY_ASSET_BY_TOKEN; QUERY_ASSET_TYPE_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.batch,BatchManagementTriggers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
