Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sitewhere-3.0.0-fc6441d,com.sitewhere.asset,AssetManagementApplication,getMicroservice,3,1,0,31,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementModule,AssetManagementModule,3,1,1,18,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementTenantConfiguration,getDatastore,3,1,0,24,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementTenantConfiguration,setDatastore,3,1,1,28,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementTenantEngineModule,AssetManagementTenantEngineModule,3,1,2,21,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.configuration,AssetManagementTenantEngineModule,configure,4,1,0,29,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementGrpcServer,AssetManagementGrpcServer,3,1,1,20,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,AssetManagementImpl,4,1,2,62,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,createAssetType,17,1,2,72,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,updateAssetType,17,1,2,95,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetTypeById,18,2,2,119,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetTypeByToken,18,2,2,144,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,deleteAssetType,16,1,2,169,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,listAssetTypes,21,2,2,192,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,createAsset,17,1,2,220,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,updateAsset,17,1,2,242,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetById,18,2,2,267,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetByToken,18,2,2,290,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,deleteAsset,16,1,2,316,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,listAssets,21,2,2,339,0,com.sitewhere.asset.grpc.AssetManagementImpl,com.sitewhere.asset.grpc.AssetManagementImpl
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getMicroservice,3,1,0,365,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,setMicroservice,3,1,1,370,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,getAssetManagement,3,1,0,374,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementImpl,setAssetManagement,3,1,1,378,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,AssetManagementRouter,4,1,1,60,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,createAssetType,8,1,2,70,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,75,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,updateAssetType,8,1,2,87,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,92,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,getAssetTypeById,8,1,2,104,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,109,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,getAssetTypeByToken,8,1,2,121,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,126,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,deleteAssetType,8,1,2,138,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,143,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,listAssetTypes,8,1,2,155,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,160,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,createAsset,8,1,2,172,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,176,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,getAssetById,8,1,2,190,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,194,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,getAssetByToken,8,1,2,206,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,211,0,,
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,updateAsset,8,1,2,223,0,com.sitewhere.asset.grpc.AssetManagementRouter,com.sitewhere.asset.grpc.AssetManagementRouter
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.grpc,AssetManagementRouter,executeInTenantEngine,3,1,1,227,0,,
