Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.asset.persistence.rdb.entity,Queries,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_ASSET_BY_TOKEN; QUERY_ASSET_TYPE_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.batch,BatchOperationTypes,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OPERATION_BATCH_COMMAND_INVOCATION
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.persistence.rdb.entity,Queries,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_BATCH_OPERATION_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NestedDeviceSupport.NestedDeviceInformation,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,NullParameters.Extractor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors.coap,MetadataCoapParameterExtractorConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_HOSTNAME_METADATA; DEFAULT_PORT_METADATA; DEFAULT_URL_METADATA; DEFAULT_METHOD_METADATA
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors.mqtt,DefaultMqttParameterExtractorConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_COMMAND_EXPRESSION; DEFAULT_SYSTEM_EXPRESSION
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.router,OutboundCommandRouterParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_DEVICE_TYPE_MAPPING
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.destination.sms,SmsParameterExtractor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_SMS_PHONE_NUMBER_METADATA
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.manager,CommandDestinationsParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_COAP; TYPE_MQTT; EXTRACTOR_TYPE_COAP_METADATA; EXTRACTOR_TYPE_MQTT_DEFAULT
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.manager,CommandDestinationsParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-3.0.0-fc6441d,com.sitewhere.device.persistence,TreeBuilder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ROOT
sitewhere-3.0.0-fc6441d,com.sitewhere.device.persistence.rdb.entity,Queries,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_DEVICE_TYPE_BY_TOKEN; QUERY_DEVICE_COMMAND_BY_TOKEN; QUERY_DEVICE_STATUS_BY_TOKEN; QUERY_DEVICE_BY_TOKEN; QUERY_DEVICE_ASSIGNMENT_BY_TOKEN; QUERY_DEVICE_ASSIGNMENT_BY_DEVICE_AND_STATUS; QUERY_CUSTOMER_TYPE_BY_TOKEN; QUERY_CUSTOMER_BY_TOKEN; QUERY_CUSTOMER_BY_PARENT_ID; QUERY_AREA_TYPE_BY_TOKEN; QUERY_AREA_BY_TOKEN; QUERY_AREA_BY_PARENT_ID; QUERY_ZONE_BY_TOKEN; QUERY_DEVICE_GROUP_BY_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.device.persistence.rdb,RdbDeviceManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
sitewhere-3.0.0-fc6441d,com.sitewhere.devicestate.kafka,AggregatedDeviceState.DeviceStateSerializer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.devicestate.kafka,AggregatedDeviceState.DeviceStateDeserializer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.devicestate.presence,PresenceNotificationStrategies.SendOnceNotificationStrategy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.event.configuration.providers,TimeSeriesProvider,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WARP_10; INFLUX_DB
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_ALERT; FIELD_SOURCE; FIELD_LEVEL; FIELD_TYPE; FIELD_MESSAGE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_INVOCATION; FIELD_INITIATOR; FIELD_INITIATOR_ID; FIELD_TARGET; FIELD_TARGET_ID; FIELD_COMMAND_ID; FIELD_COMMAND_PARAMS
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_RESPONSE; FIELD_ORIGINATING_EVENT_ID; FIELD_RESPONSE_EVENT_ID; FIELD_RESPONSE_CONTENT
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIELD_DEVICE_ID; FIELD_EVENT_ID; FIELD_ALTERNATE_ID; FIELD_EVENT_TYPE; FIELD_ASSIGNMENT_ID; FIELD_CUSTOMER_ID; FIELD_AREA_ID; FIELD_ASSET_ID; FIELD_EVENT_DATE; FIELD_RECEIVED_DATE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceLocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_LOCATION; FIELD_LATITUDE; FIELD_LONGITUDE; FIELD_ELEVATION
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceMeasurement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_MEASUREMENT; FIELD_MXNAME; FIELD_MXVALUE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.cassandra,CassandraDeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_STATE_CHANGE; FIELD_ATTRIBUTE; FIELD_TYPE; FIELD_PREVIOUS_STATE; FIELD_NEW_STATE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALERT_TYPE; ALERT_SOURCE; ALERT_LEVEL; ALERT_MESSAGE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CMD_INITIATOR; CMD_INITIATOR_ID; CMD_TARGET; CMD_TARGET_ID; CMD_COMMAND_ID; CMD_PARAMETER_VALUE_PREFIX
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RSP_ORIGINATING_EVENT_ID; RSP_RESPONSE_EVENT_ID; RSP_RESPONSE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COLLECTION_EVENTS; EVENT_ID; ALTERNATE_ID; EVENT_TYPE; EVENT_DEVICE; EVENT_ASSIGNMENT; EVENT_CUSTOMER; EVENT_AREA; EVENT_ASSET; RECEIVED_DATE; EVENT_METADATA_PREFIX
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceLocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOCATION_LATITUDE; LOCATION_LONGITUDE; LOCATION_ELEVATION
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceMeasurement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MX_NAME; MX_VALUE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STATE_CHANGE_ATTRIBUTE; STATE_CHANGE_TYPE; PREVIOUS_VALUE; UPDATED_VALUE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_SOURCE; PROP_LEVEL; PROP_TYPE; PROP_MESSAGE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_INITIATOR; PROP_INITIATOR_ID; PROP_TARGET; PROP_TARGET_ID; PROP_COMMAND_ID; PROP_PARAMETER_VALUES
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ORIGINATING_EVENT_ID; PROP_RESPONSE_EVENT_ID; PROP_RESPONSE
