Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Category,hashCode,Magic Number,The method contains a magic number: 31,98
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Category,hashCode,Magic Number,The method contains a magic number: 32,98
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,ImageSize,parseImageSize,Long Statement,The length of the statement "throw new IllegalArgumentException("Malformed string supplied. Does not contain exactly two size " + "values divided by \"" + IMAGE_SIZE_DIVIDER + "\".");" is 154.,54
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,ImageSize,parseImageSize,Magic Number,The method contains a magic number: 2,54
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,ImageSize,hashCode,Magic Number,The method contains a magic number: 31,81
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 31,228
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 32,228
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 32,228
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 31,137
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,137
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,137
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,137
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 31,136
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 32,136
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 32,136
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,User,hashCode,Magic Number,The method contains a magic number: 31,128
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,User,hashCode,Magic Number,The method contains a magic number: 32,128
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.entities,User,equals,Complex Method,Cyclomatic complexity of the method is 8,140
TeaStore-1.0.0-b0d046e,tools.descartes.teastore.auth.rest,AuthCartREST,addProductToCart,Magic Number,The method contains a magic number: 408,43
