Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_SIZE_DIVIDER; width; height
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSizePreset,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: STD_IMAGE_SIZE; size
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSizePreset,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STD_IMAGE_SIZE; size
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,InterfaceTests,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,InterfaceTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: wireMockRule; storeTomcat; testWorkingDir
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: runTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,EmptyAuthStartup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,LoginLogoutTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ConstantKeyProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,RandomSessionIdGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.startup,AuthStartup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractQueueCache,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: removeEntryByCachingStrategy
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractTreeCache,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractTreeCache,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: createEntry
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,FirstInFirstOut,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractQueueCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,IDataCache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STD_MAX_CACHE_SIZE
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,LastInFirstOut,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractQueueCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,LeastFrequentlyUsed,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTreeCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,LeastRecentlyUsed,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTreeCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,MostRecentlyUsed,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTreeCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,RandomReplacement,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractQueueCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCacheWrapper,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,DummyEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
