Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Category,hashCode,Magic Number,The method contains a magic number: 31,98
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Category,hashCode,Magic Number,The method contains a magic number: 32,98
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,ImageSize,parseImageSize,Long Statement,The length of the statement "throw new IllegalArgumentException("Malformed string supplied. Does not contain exactly two size " + "values divided by \"" + IMAGE_SIZE_DIVIDER + "\".");" is 154.,102
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,ImageSize,parseImageSize,Magic Number,The method contains a magic number: 2,102
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,ImageSize,hashCode,Magic Number,The method contains a magic number: 31,134
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 31,258
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 32,258
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Order,hashCode,Magic Number,The method contains a magic number: 32,258
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 31,152
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,152
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,152
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,OrderItem,hashCode,Magic Number,The method contains a magic number: 32,152
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 31,153
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 32,153
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,Product,hashCode,Magic Number,The method contains a magic number: 32,153
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,User,hashCode,Magic Number,The method contains a magic number: 31,151
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,User,hashCode,Magic Number,The method contains a magic number: 32,151
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,User,equals,Complex Method,Cyclomatic complexity of the method is 8,169
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthCartRest,addProductToCart,Magic Number,The method contains a magic number: 408,45
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthCartRest,addProductToCart,Magic Number,The method contains a magic number: 404,45
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,Long Parameter List,The method has 8 parameters. ,50
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,Magic Number,The method contains a magic number: 408,50
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,Magic Number,The method contains a magic number: 404,50
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,Magic Number,The method contains a magic number: 408,50
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,Magic Number,The method contains a magic number: 404,50
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.rest,AuthUserActionsRest,login,Magic Number,The method contains a magic number: 408,120
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.security,ShaSecurityProvider,getSha512,Magic Number,The method contains a magic number: 0xff,61
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.security,ShaSecurityProvider,getSha512,Magic Number,The method contains a magic number: 0x100,61
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.security,ShaSecurityProvider,getSha512,Magic Number,The method contains a magic number: 16,61
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.security,ShaSecurityProviderTest,test,Magic Number,The method contains a magic number: 123456L,16
TeaStore-1.4.2-14648b7,tools.descartes.teastore.auth.security,ShaSecurityProviderTest,test,Magic Number,The method contains a magic number: 13L,16
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.cache,AbstractCacheTestInit,initialize,Magic Number,The method contains a magic number: 2,22
