Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,ImageSize,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE_SIZE_DIVIDER
TeaStore-1.4.2-14648b7,tools.descartes.teastore.entities,ImageSizePreset,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_IMAGE_SIZE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.cache,IDataCache,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_MAX_CACHE_SIZE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image,ImageProvider,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE_NOT_FOUND
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image,StoreImage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STORE_IMAGE_FORMAT; STORE_IMAGE_DATA_STRING
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,CachingMode,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_CACHING_MODE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,CachingRule,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_CACHING_RULE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_SEED; STD_NR_OF_SHAPES_PER_IMAGE; MAX_RGB; MAX_FONT_SIZE; MAX_TEXT_LENGTH; MAX_CHAR_SIZE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,SetupController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_WORKING_DIR; PERSISTENCE_CREATION_WAIT_TIME; CREATION_THREAD_POOL_SIZE; CREATION_THREAD_POOL_WAIT; CREATION_THREAD_POOL_WAIT_PER_IMG_NR
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,SetupController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,SetupController.SetupControllerConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_WORKING_DIR; PERSISTENCE_CREATION_WAIT_TIME; CREATION_THREAD_POOL_SIZE; CREATION_THREAD_POOL_WAIT; CREATION_THREAD_POOL_WAIT_PER_IMG_NR
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,StorageMode,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_STORAGE_MODE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,StorageRule,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STD_STORAGE_RULE
TeaStore-1.4.2-14648b7,tools.descartes.teastore.persistence.domain,CategoryRepository,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REPOSITORY
TeaStore-1.4.2-14648b7,tools.descartes.teastore.persistence.domain,OrderItemRepository,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REPOSITORY
TeaStore-1.4.2-14648b7,tools.descartes.teastore.persistence.domain,OrderRepository,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REPOSITORY
