Project Name,Package Name,Architecture Smell,Cause of the Smell
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Category]; [ImageSize; ImageSizePreset]; [Order]; [OrderItem]; [Product]; [User]; [InterfaceTests]. LCC (Lack of Component Cohesion) = 0.88
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthCartRest; AbstractStoreRestTest; CartTest; LoginLogoutTest; AuthUserActionsRest]; [EmptyAuthStartup]. LCC (Lack of Component Cohesion) = 0.33
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BCryptProvider]; [ConstantKeyProvider; IKeyProvider; ISecurityProvider; ShaSecurityProvider; ShaSecurityProviderTest]; [ISessionIdGenerator; RandomSessionIdGenerator]; [ConstantKeyProviderTest]. LCC (Lack of Component Cohesion) = 0.44
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.cache; tools.descartes.teastore.image; tools.descartes.teastore.image.setup
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.cache; tools.descartes.teastore.image.storage; tools.descartes.teastore.image; tools.descartes.teastore.image.setup
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image; tools.descartes.teastore.image.storage
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image; tools.descartes.teastore.image.setup; tools.descartes.teastore.image.storage
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image; tools.descartes.teastore.image.setup; tools.descartes.teastore.image.cache; tools.descartes.teastore.image.storage
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): tools.descartes.teastore.image.setup
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ImageDB; ImageDBKey; ImageProvider; TestImageDB; TestImageDBKey]; [ImageScaler; TestImageScaler]; [StoreImage; TestStoreImage]; [TestImageProvider]. LCC (Lack of Component Cohesion) = 0.4
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.setup,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.setup; tools.descartes.teastore.image
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.setup,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.setup; tools.descartes.teastore.image.storage; tools.descartes.teastore.image
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.storage,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.storage; tools.descartes.teastore.image
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.storage,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tools.descartes.teastore.image.storage; tools.descartes.teastore.image; tools.descartes.teastore.image.setup
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.storage,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): tools.descartes.teastore.image
