Project Name,Package Name,Architecture Smell,Cause of the Smell
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultSpanCreator; SpanCreator; SleuthAdvisorConfig; SleuthAnnotationAutoConfiguration; TagValueExpressionResolver; SleuthAdvisorConfig.SleuthInterceptor; SpanTagAnnotationHandler; SleuthAnnotationUtils; SpelTagValueExpressionResolver]; [NoOpTagValueResolver; TagValueResolver]; [SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut]; [SleuthAdvisorConfig.AnnotationClassOrMethodFilter]; [SleuthAdvisorConfig.AnnotationMethodsResolver]; [SleuthAnnotatedParameter]; [SleuthAnnotationProperties]. LCC (Lack of Component Cohesion) = 0.44
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChainCallable; Chainer; ChainRunnable; Item; Item.SpanBuilder; ItemAccessor; ItemAdjuster; ItemContext; ItemExtractor; ItemInjector; ItemNamer; ItemReporter; NOItemAdjuster; NOItemReporter; Sampler; StateItemAdjuster; DefaultItemNamer]; [ChainKeys]; [ChainKeys.Message]; [ChainKeys.Payload]; [ChainKeys.Http]; [ChainKeys.Hystrix]; [ChainKeys.Async]; [ChainKeys.Mvc]; [ItemTextMap]; [Log]. LCC (Lack of Component Cohesion) = 0.38
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.async,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ACAtcfg]; [ADAtcfg; EBPProc; TAAsp; LTTPTExec]; [ADAtcfg.DefaultAsyncConfigurerSupport]; [EBPProc.ExecutorMethodInterceptor]; [LCTCall; SCTCall; TEServ; TSEServ; LCTRun; SCTRun]; [LTACus]; [LTExec]; [TCCall]. LCC (Lack of Component Cohesion) = 0.5
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ATHRInter; TACHRFW; TRTInter; TWACAConf; TWCAConf; TWCAConf.TraceInterceptorConfiguration; THResp]; [HRTMap]; [TALTExec]; [TARTemp]; [TARTemp.TraceSuccessCallback]; [TARTemp.TraceFailureCallback]; [TARTemp.TraceListenableFutureCallbackWrapper]; [TARTemp.TraceListenableFutureCallback]. LCC (Lack of Component Cohesion) = 0.57
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HSExtra; TFilter; THAConf; THInter; TRAttr; TWAConf; TWAsp; TWMConf; ZHSExtra; HSInject; ZHSInject; HSRTMap; HTKInject; ServletUtils; SsLogSetter; THSResp; TPWriter; TSOStr; SWProp; TSDBPProcess]; [SWProp.Client]; [SWProp.Async]; [SWProp.AsyncClient]; [SWProp.Template]; [TSDBPProcess.TraceDelegatingHandlerMapping]; [TWAConf.TraceWebMvcAutoConfiguration]; [TWAConf.SkipPatternProviderConfig]; [TWAConf.SkipPatternProvider]. LCC (Lack of Component Cohesion) = 0.32
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.lgger,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ItemLogger; LogAtcfg; NoItemLogger; Slf4jItemLogger]; [LogAtcfg.Slf4jConfiguration]; [Slf4jProps]. LCC (Lack of Component Cohesion) = 0.5
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.mtc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChainMetricsAtcfg; ItemMetricReporter; NOIMRep; SMProp; CSBSMRep]; [ChainMetricsAtcfg.CounterServiceSpanReporterConfig]; [ChainMetricsAtcfg.PickMetricIfMetricsIsMissing]; [SMProp.Span]. LCC (Lack of Component Cohesion) = 0.5
trainticket-0.0.2-228066f,sample.atomikos,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account]; [AccountRepository; AccountService; SampleAtomikosApplication; SampleAtomikosApplicationTests]; [Messages]. LCC (Lack of Component Cohesion) = 0.5
trainticket-0.0.2-228066f,admintravel.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdminTrip; Route; TrainType; Trip; TripId; Type]; [TravelInfo]. LCC (Lack of Component Cohesion) = 0.29
trainticket-0.0.2-228066f,fdse.microservice.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Contacts]; [PriceConfig]; [Route]; [TrainType; TravelResult]; [Travel; Trip; TripId; Type]; [Station]. LCC (Lack of Component Cohesion) = 0.6
trainticket-0.0.2-228066f,cancel.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account; DocumentType; Gender; GetAccountByIdResult]; [GetAccountByIdInfo]; [GetOrderByIdInfo]; [NotifyInfo]; [Order; OrderStatus; SeatClass]; [User]; [VerifyResult]. LCC (Lack of Component Cohesion) = 0.58
trainticket-0.0.2-228066f,foodsearch.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllTripFood]; [Food]; [FoodOrder]; [FoodStore]; [Route]; [TrainFood]. LCC (Lack of Component Cohesion) = 1.0
trainticket-0.0.2-228066f,inside_payment.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountInfo]; [Balance]; [Money; MoneyType]; [Order; OrderStatus; SeatClass]; [OutsidePaymentInfo]; [Payment; PaymentType]; [PaymentInfo]. LCC (Lack of Component Cohesion) = 0.64
