Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,NoOpTagValueResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: methodResolver
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: methodResolver
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: annotationType
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: logger; beanFactory; spanCreator; tracer; spanTagAnnotationHandler
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: logger; beanFactory; spanCreator; tracer; spanTagAnnotationHandler
