Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,createSpan,Long Statement,The length of the statement "log.debug("For the class [" + pjp.getThis().getClass() + "] method "+ "["+ pjp.getMethod().getName()+ "] will name the span ["+ changedName+ "]");" is 146.,25
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,findAnnotation,Long Statement,The length of the statement "annotation=AnnotationUtils.findAnnotation(method.getDeclaringClass().getMethod(method.getName()`method.getParameterTypes())`clazz);" is 131.,45
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,addAnnotatedParameters,Long Statement,The length of the statement "List<SleuthAnnotatedParameter> annotatedParameters=SleuthAnnotationUtils.findAnnotatedParameters(mostSpecificMethod`pjp.getArguments());" is 136.,30
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,getAnnotationsFromInterfaces,Long Identifier,The length of the identifier annotatedParametersForActualMethod is 34.,46
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,getAnnotationsFromInterfaces,Long Statement,The length of the statement "List<SleuthAnnotatedParameter> annotatedParametersForActualMethod=SleuthAnnotationUtils.findAnnotatedParameters(methodFromInterface`pjp.getArguments());" is 152.,46
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,methodsAreTheSame,Long Statement,The length of the statement "return method1.getName().equals(mostSpecificMethod.getName()) && Arrays.equals(method1.getParameterTypes()`mostSpecificMethod.getParameterTypes());" is 147.,63
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,mergeAnnotatedMethodsIfNecessary,Long Identifier,The length of the identifier annotatedParametersForActualMethod is 34.,68
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,mergeAnnotatedMethodsIfNecessary,Long Statement,The length of the statement "List<SleuthAnnotatedParameter> annotatedParametersForActualMethod=SleuthAnnotationUtils.findAnnotatedParameters(method`pjp.getArguments());" is 139.,68
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,mergeAnnotatedParameters,Long Identifier,The length of the parameter annotatedParametersIndicesForActualMethod is 41.,79
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,sleuthTracer,Long Parameter List,The method has 6 parameters. ,47
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceEnvironmentPostProcessor,postProcessEnvironment,Long Statement,The length of the statement "map.put("logging.pattern.level"`"%5p [${spring.zipkin.service.name:${spring.application.name:-}}`%X{X-B3-TraceId:-}`%X{X-B3-SpanId:-}`%X{X-Span-Export:-}]");" is 157.,20
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,Item,Long Parameter List,The method has 9 parameters. ,119
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,Item,Long Parameter List,The method has 10 parameters. ,127
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,Item,Long Statement,The length of the statement "this(new SpanBuilder().begin(begin).end(end).name(name).traceId(traceId).parents(parents).spanId(spanId).remote(remote).exportable(exportable).processId(processId).savedSpan(savedSpan));" is 186.,127
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,Item,Magic Number,The method contains a magic number: 1000,144
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,stop,Magic Number,The method contains a magic number: 1000,178
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,stop,Magic Number,The method contains a magic number: 1000,178
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,getAccumulatedMillis,Magic Number,The method contains a magic number: 1000,196
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,getAccumulatedMicros,Magic Number,The method contains a magic number: 1000,203
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,getAccumulatedMicros,Magic Number,The method contains a magic number: 1000,203
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,traceIdString,Magic Number,The method contains a magic number: 32,339
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,traceIdString,Magic Number,The method contains a magic number: 16,339
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,traceIdString,Magic Number,The method contains a magic number: 16,339
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,idToHex,Magic Number,The method contains a magic number: 16,357
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 56L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 2,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 48L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 4,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 40L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 6,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 32L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 8,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 24L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 10,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 16L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 12,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 8L,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 14,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexLong,Magic Number,The method contains a magic number: 0xff,364
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexByte,Magic Number,The method contains a magic number: 4,375
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexByte,Magic Number,The method contains a magic number: 0xf,375
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,writeHexByte,Magic Number,The method contains a magic number: 0xf,375
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 32,384
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 16,384
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 16,384
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 16,396
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 4,396
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,hexToId,Magic Number,The method contains a magic number: 10,396
