Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,DefaultSpanCreator,3,1,1,21,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,createSpan,8,2,2,25,0,org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.antn.DefaultSpanCreator
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,createSpan,6,2,1,36,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,NoOpTagValueResolver,resolve,3,1,1,7,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,init,7,2,0,45,0,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,setBeanFactory,3,1,1,55,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,getClassFilter,3,1,0,60,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,getInterfaces,3,1,0,65,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,validateInterfaces,2,1,0,70,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,getAdvice,3,1,0,74,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,getPointcut,3,1,0,79,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,buildAdvice,3,1,0,84,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,buildPointcut,3,1,0,88,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotatedParameter,SleuthAnnotatedParameter,5,1,3,13,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,spanCreator,3,1,1,22,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,spelTagValueExpressionResolver,3,1,0,28,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,noOpTagValueResolver,3,1,0,34,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,sleuthAdvisorConfig,3,1,0,40,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationProperties,isEnabled,3,1,0,13,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationProperties,setEnabled,3,1,1,17,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,isMethodAnnotated,3,1,1,20,0,org.myproject.ms.monitoring.antn.SleuthAnnotationUtils,org.myproject.ms.monitoring.antn.SleuthAnnotationUtils
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,hasAnnotatedParams,3,1,2,25,0,org.myproject.ms.monitoring.antn.SleuthAnnotationUtils,org.myproject.ms.monitoring.antn.SleuthAnnotationUtils
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,findAnnotatedParameters,14,4,2,29,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,findAnnotation,14,3,2,45,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanCreator,createSpan,0,1,2,12,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,SpanTagAnnotationHandler,3,1,1,26,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,addAnnotatedParameters,13,1,1,30,0,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,getAnnotationsFromInterfaces,13,5,3,46,0,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,methodsAreTheSame,3,1,2,63,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,mergeAnnotatedMethodsIfNecessary,6,2,4,68,0,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,mergeAnnotatedParameters,15,5,2,79,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,addAnnotatedArguments,6,2,1,96,0,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler,org.myproject.ms.monitoring.antn.SpanTagAnnotationHandler
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,resolveTagValue,13,4,2,103,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,tracer,6,2,0,117,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SpelTagValueExpressionResolver,resolve,11,1,2,17,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,TagValueExpressionResolver,resolve,0,1,2,9,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,TagValueResolver,resolve,0,1,1,7,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,SleuthProperties,isEnabled,3,1,0,15,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,SleuthProperties,setEnabled,3,1,1,19,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,SleuthProperties,isTraceId128,3,1,0,23,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,SleuthProperties,setTraceId128,3,1,1,27,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,randomForSpanIds,3,1,0,35,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,defaultTraceSampler,3,1,0,41,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,sleuthTracer,3,1,6,47,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,spanNamer,3,1,0,56,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,defaultSpanReporter,3,1,0,62,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,defaultSpanAdjuster,3,1,0,68,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceEnvironmentPostProcessor,postProcessEnvironment,6,1,2,20,0,org.myproject.ms.monitoring.atcfg.TraceEnvironmentPostProcessor,org.myproject.ms.monitoring.atcfg.TraceEnvironmentPostProcessor
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.atcfg,TraceEnvironmentPostProcessor,addOrReplace,20,7,2,32,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,ChainCallable,3,1,3,16,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,ChainCallable,7,1,4,20,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,call,9,1,0,28,0,org.myproject.ms.monitoring.ChainCallable,org.myproject.ms.monitoring.ChainCallable
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,startSpan,3,1,0,39,0,org.myproject.ms.monitoring.ChainCallable,org.myproject.ms.monitoring.ChainCallable
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,getSpanName,6,2,0,43,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,close,3,1,1,50,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,continueSpan,3,1,1,54,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,detachSpan,3,1,1,58,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,getTracer,3,1,0,62,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,getDelegate,3,1,0,66,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,getName,3,1,0,70,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainCallable,getParent,3,1,0,74,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,createSpan,0,1,1,11,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,createSpan,0,1,2,14,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,createSpan,0,1,2,17,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,continueSpan,0,1,1,20,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,addTag,0,1,2,23,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,detach,0,1,1,26,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,close,0,1,1,29,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,wrap,0,1,1,32,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Chainer,wrap,0,1,1,35,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,getHttp,3,1,0,24,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,getMessage,3,1,0,28,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,getHystrix,3,1,0,32,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,getAsync,3,1,0,36,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,getMvc,3,1,0,40,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,setHttp,3,1,1,44,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,setMessage,3,1,1,48,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,setHystrix,3,1,1,52,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,setAsync,3,1,1,56,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys,setMvc,3,1,1,60,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,ChainRunnable,3,1,3,17,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,ChainRunnable,7,1,4,21,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,run,9,1,0,29,0,org.myproject.ms.monitoring.ChainRunnable,org.myproject.ms.monitoring.ChainRunnable
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,startSpan,3,1,0,40,0,org.myproject.ms.monitoring.ChainRunnable,org.myproject.ms.monitoring.ChainRunnable
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,getSpanName,6,2,0,44,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,close,6,2,1,51,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,continueSpan,3,1,1,59,0,,
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainRunnable,detachSpan,6,2,1,63,0,,
