Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
trainticket-0.0.2-228066f,com.springsource.open.foo.async,AsynchronousMessageTriggerAndPartialRollbackTests,testPartialFailureWithDuplicateMessage,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,com.springsource.open.foo.async,AsynchronousMessageTriggerAndRollbackTests,testBusinessFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,com.springsource.open.foo.async,AsynchronousMessageTriggerSunnyDayTests,testCleanData,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,com.springsource.open.foo.sync,SynchronousMessageTriggerAndPartialRollbackTests,testReceiveMessageUpdateDatabase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trainticket-0.0.2-228066f,com.springsource.open.foo.sync,SynchronousMessageTriggerAndRollbackTests,testReceiveMessageUpdateDatabase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trainticket-0.0.2-228066f,com.springsource.open.foo.sync,SynchronousMessageTriggerSunnyDayTests,testReceiveMessageUpdateDatabase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trainticket-0.0.2-228066f,com.springsource.open.foo.test,MessagingTests,testMessaging,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trainticket-0.0.2-228066f,sample.atomikos,SampleAtomikosApplicationTests,testTransactionRollback,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
trainticket-0.0.2-228066f,(default package),TestServiceConfig,testConfig,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,(default package),TestServicePrice,testPrice,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,(default package),TestServiceSSO,testSSOAccount,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,(default package),TestServiceStation,testStation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,(default package),TestServiceTrain,testTrain,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trainticket-0.0.2-228066f,(default package),TestServiceTravel2,testTravel2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
