Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Message,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Payload,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Http,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Hystrix,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Async,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,ChainKeys.Mvc,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SAMPLED_NAME; PROCESS_ID_NAME; PARENT_ID_NAME; TRACE_ID_NAME; SPAN_NAME_NAME; SPAN_ID_NAME; SPAN_EXPORT_NAME; SPAN_FLAGS; SPAN_BAGGAGE_HEADER_PREFIX; SPAN_HEADERS; SPAN_SAMPLED; SPAN_NOT_SAMPLED; SPAN_LOCAL_COMPONENT_TAG_NAME; SPAN_ERROR_TAG_NAME; CLIENT_RECV; CLIENT_SEND; SERVER_RECV; SERVER_SEND; SPAN_PEER_SERVICE_TAG_NAME; INSTANCEID
trainticket-0.0.2-228066f,org.myproject.ms.monitoring,Item.SpanBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.msg,TCInter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.msg,TMHead,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SPAN_ID_NAME; SAMPLED_NAME; PROCESS_ID_NAME; PARENT_ID_NAME; TRACE_ID_NAME; SPAN_NAME_NAME; SPAN_FLAGS_NAME
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,SWProp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_SKIP_PATTERN
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,SWProp.Client,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,SWProp.Async,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,SWProp.AsyncClient,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,SWProp.Template,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,TFilter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ORDER; DEFAULT_SKIP_PATTERN
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,TFilter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,THInter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,TRAttr,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLED_SPAN_REQUEST_ATTR; ERROR_HANDLED_SPAN_REQUEST_ATTR; NEW_SPAN_REQUEST_ATTR; SPAN_CONTINUED_REQUEST_ATTR
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.instrument.web,TWAConf,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.mtc,SMProp.Span,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.spl,NeverSampler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.trace,DChainer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
trainticket-0.0.2-228066f,auth.constant,AuthConstant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ROLE_USER; ROLE_ADMIN
trainticket-0.0.2-228066f,auth.constant,InfoConstant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DUPLICATE; USER_HAS_ALREADY_EXIST; PROPERTIES_CANNOT_BE_EMPTY_1; USER_IS_NOT_EXIST_2; PASSWORD_LEAST_CHAR_1; USER_NAME_NOT_FOUND_1; ID; USERNAME; PASSWORD; ROLES
trainticket-0.0.2-228066f,rebook.service,RebookServiceImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
trainticket-0.0.2-228066f,verifycode.service.impl,VerifyCodeServiceImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CAPTCHA_EXPIRED
