Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,DefaultSpanCreator,2,0,3,1,21,5,0,1,0.0,0,3,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\DefaultSpanCreator.java,15
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,NoOpTagValueResolver,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\NoOpTagValueResolver.java,6
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,7,0,9,7,112,10,0,0,0.3333333333333333,1,1,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAdvisorConfig.java,35
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,1,0,0,0,44,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAdvisorConfig.java,93
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,1,0,0,0,10,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAdvisorConfig.java,148
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,1,0,0,0,22,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAdvisorConfig.java,165
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,5,0,0,0,89,0,0,0,-1.0,0,5,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAdvisorConfig.java,195
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotatedParameter,3,0,1,0,10,1,0,0,0.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAnnotatedParameter.java,5
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,0,0,4,0,14,4,0,0,-1.0,0,5,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAnnotationAutoConfiguration.java,15
trainticket-0.0.2-228066f,org.myproject.ms.monitoring.antn,SleuthAnnotationProperties,1,0,2,2,9,2,0,0,0.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.0.2-228066f\ms-monitoring-core\src\main\java\org\myproject\ms\monitoring\antn\SleuthAnnotationProperties.java,8
