Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
trainticket-0.1.0-56b95d7,adminbasic,AdminBasicInfoApplication,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\AdminBasicInfoApplication.java,13
trainticket-0.1.0-56b95d7,adminbasic.config,SecurityConfig,0,0,4,3,28,4,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\config\SecurityConfig.java,21
trainticket-0.1.0-56b95d7,adminbasic.controller,AdminBasicInfoController,2,0,21,21,90,21,0,0,0.09523809523809523,1,1,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\controller\AdminBasicInfoController.java,14
trainticket-0.1.0-56b95d7,adminbasic.controller,AdminBasicInfoControllerTest,4,0,22,22,137,22,0,0,0.0,0,3,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\test\java\adminbasic\controller\AdminBasicInfoControllerTest.java,22
trainticket-0.1.0-56b95d7,adminbasic.entity,Config,3,0,0,0,8,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\entity\Config.java,7
trainticket-0.1.0-56b95d7,adminbasic.entity,Contacts,6,0,2,2,29,5,0,0,1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\entity\Contacts.java,9
trainticket-0.1.0-56b95d7,adminbasic.entity,PriceInfo,5,0,0,0,10,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\entity\PriceInfo.java,6
trainticket-0.1.0-56b95d7,adminbasic.entity,Station,3,0,3,3,20,3,0,0,0.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\entity\Station.java,8
trainticket-0.1.0-56b95d7,adminbasic.entity,TrainType,4,0,3,3,22,3,0,0,0.6666666666666666,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\entity\TrainType.java,7
trainticket-0.1.0-56b95d7,adminbasic.service,AdminBasicInfoService,0,0,20,0,140,20,1,0,-1.0,2,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\service\AdminBasicInfoService.java,8
trainticket-0.1.0-56b95d7,adminbasic.service,AdminBasicInfoServiceImpl,6,0,20,20,133,20,0,1,0.0,1,1,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\main\java\adminbasic\service\AdminBasicInfoServiceImpl.java,16
trainticket-0.1.0-56b95d7,adminbasic.service,AdminBasicInfoServiceImplTest,6,0,21,21,135,21,0,0,0.09523809523809523,0,2,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-basic-info-service\src\test\java\adminbasic\service\AdminBasicInfoServiceImplTest.java,14
trainticket-0.1.0-56b95d7,adminorder,AdminOrderApplication,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-order-service\src\main\java\adminorder\AdminOrderApplication.java,13
trainticket-0.1.0-56b95d7,adminorder.config,SecurityConfig,0,0,4,3,28,4,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-order-service\src\main\java\adminorder\config\SecurityConfig.java,20
trainticket-0.1.0-56b95d7,adminorder.controller,AdminOrderController,1,0,5,5,21,5,0,0,0.4,1,1,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-order-service\src\main\java\adminorder\controller\AdminOrderController.java,12
trainticket-0.1.0-56b95d7,adminorder.controller,AdminOrderControllerTest,4,0,6,6,37,6,0,0,0.0,0,4,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-admin-order-service\src\test\java\adminorder\controller\AdminOrderControllerTest.java,22
trainticket-0.1.0-56b95d7,adminorder.controller,FoodControllerTest,4,0,8,8,47,8,0,0,0.0,0,4,C:\Users\ale\Desktop\projects\trainticket-0.1.0-56b95d7\ts-food-service\src\test\java\adminorder\controller\FoodControllerTest.java,23
