Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
trainticket-0.2.0-e5ae0c3,adminbasic,AdminBasicInfoApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.2.0-e5ae0c3,adminbasic.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Config,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; value; description
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Config,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Contacts,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.2.0-e5ae0c3,adminbasic.entity,PriceInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; trainType; routeId; basicPriceRate; firstClassPriceRate
trainticket-0.2.0-e5ae0c3,adminbasic.entity,PriceInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-0.2.0-e5ae0c3,adminbasic.entity,PriceInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; trainType; routeId; basicPriceRate; firstClassPriceRate
