Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
trainticket-0.2.0-e5ae0c3,adminbasic,AdminBasicInfoApplication,main,3,1,1,23,0,,
trainticket-0.2.0-e5ae0c3,adminbasic,AdminBasicInfoApplication,restTemplate,3,1,1,27,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.config,SecurityConfig,passwordEncoder,3,1,0,29,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.config,SecurityConfig,corsConfigurer,8,1,0,39,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.config,SecurityConfig,addCorsMappings,3,1,1,50,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.config,SecurityConfig,configure,4,1,1,63,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,home,3,1,1,25,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,getAllContacts,4,1,1,30,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,deleteContacts,4,1,2,37,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,modifyContacts,4,1,2,44,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,addContacts,4,1,2,51,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,getAllStations,4,1,1,58,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,deleteStation,4,1,2,65,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,modifyStation,4,1,2,72,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,addStation,4,1,2,79,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,getAllTrains,4,1,1,86,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,deleteTrain,4,1,2,93,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,modifyTrain,4,1,2,100,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,addTrain,4,1,2,107,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,getAllConfigs,4,1,1,114,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,deleteConfig,4,1,2,121,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,modifyConfig,4,1,2,128,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,addConfig,4,1,2,135,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,getAllPrices,4,1,1,142,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,deletePrice,4,1,2,149,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,modifyPrice,4,1,2,156,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoController,addPrice,4,1,2,163,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,setUp,4,1,0,33,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testHome,3,1,0,39,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllContacts,5,1,0,46,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteContacts,5,1,0,55,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testModifyContacts,7,1,0,64,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testAddContacts,7,1,0,75,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllStations,5,1,0,86,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteStation,7,1,0,95,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testModifyStation,7,1,0,106,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testAddStation,7,1,0,117,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllTrains,5,1,0,128,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteTrain,5,1,0,137,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testModifyTrain,7,1,0,146,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testAddTrain,7,1,0,157,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllConfigs,5,1,0,168,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteConfig,5,1,0,177,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testModifyConfig,7,1,0,186,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testAddConfig,7,1,0,197,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllPrices,5,1,0,208,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testDeletePrice,7,1,0,217,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testModifyPrice,7,1,0,228,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.controller,AdminBasicInfoControllerTest,testAddPrice,7,1,0,239,1,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Contacts,equals,13,4,1,29,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Contacts,hashCode,5,1,0,48,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Station,Station,3,1,0,22,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Station,Station,4,1,2,28,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,Station,Station,5,1,3,34,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,TrainType,TrainType,2,1,0,21,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,TrainType,TrainType,5,1,3,25,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.entity,TrainType,TrainType,6,1,4,31,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,getAllContacts,0,1,1,13,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,addContact,0,1,2,21,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,deleteContact,0,1,2,30,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,modifyContact,0,1,2,39,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,getAllStations,0,1,1,50,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,addStation,0,1,2,58,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,deleteStation,0,1,2,67,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,modifyStation,0,1,2,76,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,getAllTrains,0,1,1,87,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,addTrain,0,1,2,95,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,deleteTrain,0,1,2,104,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,modifyTrain,0,1,2,113,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,getAllConfigs,0,1,1,124,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,addConfig,0,1,2,132,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,deleteConfig,0,1,2,141,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,modifyConfig,0,1,2,150,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,getAllPrices,0,1,1,161,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,addPrice,0,1,2,169,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,deletePrice,0,1,2,178,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoService,modifyPrice,0,1,2,187,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoServiceImpl,getAllContacts,7,1,1,32,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoServiceImpl,deleteContact,7,1,2,47,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoServiceImpl,modifyContact,8,1,2,62,0,,
trainticket-0.2.0-e5ae0c3,adminbasic.service,AdminBasicInfoServiceImpl,addContact,7,1,2,78,0,,
