Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
trainticket-1.0.0-fa8d9ef,adminbasic,AdminBasicInfoApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
trainticket-1.0.0-fa8d9ef,adminbasic.entity,PriceInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; trainType; routeId; basicPriceRate; firstClassPriceRate
trainticket-1.0.0-fa8d9ef,adminbasic.entity,PriceInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminbasic.entity,PriceInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; trainType; routeId; basicPriceRate; firstClassPriceRate
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImplTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
trainticket-1.0.0-fa8d9ef,adminorder,AdminOrderApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminorder.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminroute,AdminRouteApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminroute.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminroute.controller,AdminRouteController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: adminRouteService; logger
trainticket-1.0.0-fa8d9ef,adminroute.service,AdminRouteServiceImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: restTemplate; discoveryClient; logger
trainticket-1.0.0-fa8d9ef,admintravel,AdminTravelApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,admintravel.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminuser,AdminUserApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminuser.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,adminuser.dto,UserDto,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: accountId; userName; password; gender; documentType; documentNum; email
trainticket-1.0.0-fa8d9ef,assurance,AssuranceApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,assurance.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,assurance.entity,AssuranceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: index; name; price
trainticket-1.0.0-fa8d9ef,assurance.entity,AssuranceTypeBean,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: index; name; price
trainticket-1.0.0-fa8d9ef,assurance.entity,PlainAssurance,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,assurance.init,InitData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,auth,AuthApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,auth.config,WebSecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trainticket-1.0.0-fa8d9ef,auth.constant,AuthConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROLE_USER; ROLE_ADMIN
trainticket-1.0.0-fa8d9ef,auth.constant,InfoConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DUPLICATE; USER_HAS_ALREADY_EXIST; PROPERTIES_CANNOT_BE_EMPTY_1; USER_IS_NOT_EXIST_2; PASSWORD_LEAST_CHAR_1; USER_NAME_NOT_FOUND_1; ID; USERNAME; PASSWORD; ROLES
trainticket-1.0.0-fa8d9ef,auth.dto,AuthDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; userName; password
trainticket-1.0.0-fa8d9ef,auth.dto,BasicAuthDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; username; password; verificationCode
trainticket-1.0.0-fa8d9ef,auth.dto,TokenDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; userId; username; token
trainticket-1.0.0-fa8d9ef,auth.dto,TokenDto,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
