Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
trainticket-1.0.0-fa8d9ef,adminbasic,AdminBasicInfoApplication,main,3,1,1,26,0,,
trainticket-1.0.0-fa8d9ef,adminbasic,AdminBasicInfoApplication,restTemplate,3,1,1,30,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,passwordEncoder,3,1,0,29,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,corsConfigurer,8,1,0,39,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,addCorsMappings,3,1,1,50,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,configure,4,1,1,63,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,home,3,1,1,29,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,getAllContacts,4,1,1,34,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,deleteContacts,4,1,2,41,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,modifyContacts,4,1,2,48,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,addContacts,4,1,2,55,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,getAllStations,4,1,1,62,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,deleteStation,4,1,2,69,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,modifyStation,4,1,2,76,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,addStation,4,1,2,83,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,getAllTrains,4,1,1,90,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,deleteTrain,4,1,2,97,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,modifyTrain,4,1,2,104,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,addTrain,4,1,2,111,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,getAllConfigs,4,1,1,118,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,deleteConfig,4,1,2,125,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,modifyConfig,4,1,2,132,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,addConfig,4,1,2,139,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,getAllPrices,4,1,1,146,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,deletePrice,4,1,2,153,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,modifyPrice,4,1,2,160,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,addPrice,4,1,2,167,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,setUp,4,1,0,37,0,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testHome,3,1,0,43,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllContacts,5,1,0,50,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteContacts,5,1,0,59,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyContacts,7,1,0,68,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddContacts,7,1,0,79,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllStations,5,1,0,90,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteStation,7,1,0,99,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyStation,7,1,0,110,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddStation,7,1,0,121,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllTrains,5,1,0,132,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteTrain,5,1,0,141,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyTrain,7,1,0,150,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddTrain,7,1,0,161,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllConfigs,5,1,0,172,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeleteConfig,5,1,0,181,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyConfig,7,1,0,190,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testAddConfig,7,1,0,201,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testGetAllPrices,5,1,0,212,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testDeletePrice,7,1,0,221,1,,
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,testModifyPrice,7,1,0,232,1,,
