Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
trainticket-1.0.0-fa8d9ef,adminroute.controller,AdminRouteController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger
trainticket-1.0.0-fa8d9ef,adminroute.service,AdminRouteServiceImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger
trainticket-1.0.0-fa8d9ef,auth.constant,AuthConstant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ROLE_USER; ROLE_ADMIN
trainticket-1.0.0-fa8d9ef,auth.constant,InfoConstant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DUPLICATE; USER_HAS_ALREADY_EXIST; PROPERTIES_CANNOT_BE_EMPTY_1; USER_IS_NOT_EXIST_2; PASSWORD_LEAST_CHAR_1; USER_NAME_NOT_FOUND_1; ID; USERNAME; PASSWORD; ROLES
trainticket-1.0.0-fa8d9ef,delivery.config,Queues,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queueName
trainticket-1.0.0-fa8d9ef,foodsearch.config,Queues,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queueName
trainticket-1.0.0-fa8d9ef,notification.config,Queues,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queueName
trainticket-1.0.0-fa8d9ef,preserveOther.config,Queues,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queueName
trainticket-1.0.0-fa8d9ef,preserve.config,Queues,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queueName
trainticket-1.0.0-fa8d9ef,rebook.service,RebookServiceImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
trainticket-1.0.0-fa8d9ef,rebook.service,RebookServiceImplTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
trainticket-1.0.0-fa8d9ef,travel.service,TravelServiceImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
trainticket-1.0.0-fa8d9ef,travel2.service,TravelServiceImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
trainticket-1.0.0-fa8d9ef,travel2.service,TravelServiceImplTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
trainticket-1.0.0-fa8d9ef,verifycode.service.impl,VerifyCodeServiceImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CAPTCHA_EXPIRED
