Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
trainticket-1.0.0-fa8d9ef,adminbasic,AdminBasicInfoApplication,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\AdminBasicInfoApplication.java,15
trainticket-1.0.0-fa8d9ef,adminbasic.config,SecurityConfig,0,0,4,3,28,4,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\config\SecurityConfig.java,21
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoController,2,0,21,21,90,21,0,0,0.09523809523809523,1,5,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\controller\AdminBasicInfoController.java,18
trainticket-1.0.0-fa8d9ef,adminbasic.controller,AdminBasicInfoControllerTest,4,0,22,22,137,22,0,0,0.0,0,7,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\test\java\adminbasic\controller\AdminBasicInfoControllerTest.java,26
trainticket-1.0.0-fa8d9ef,adminbasic.entity,PriceInfo,5,0,0,0,10,0,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\entity\PriceInfo.java,6
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoService,0,0,20,0,140,20,1,0,-1.0,2,4,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\service\AdminBasicInfoService.java,12
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImpl,3,0,21,20,165,21,0,1,0.0,1,5,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\main\java\adminbasic\service\AdminBasicInfoServiceImpl.java,21
trainticket-1.0.0-fa8d9ef,adminbasic.service,AdminBasicInfoServiceImplTest,6,0,21,21,135,21,0,0,0.09523809523809523,0,6,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-basic-info-service\src\test\java\adminbasic\service\AdminBasicInfoServiceImplTest.java,18
trainticket-1.0.0-fa8d9ef,adminorder,AdminOrderApplication,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\main\java\adminorder\AdminOrderApplication.java,15
trainticket-1.0.0-fa8d9ef,adminorder.config,SecurityConfig,0,0,4,3,28,4,0,0,-1.0,0,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\main\java\adminorder\config\SecurityConfig.java,20
trainticket-1.0.0-fa8d9ef,adminorder.controller,AdminOrderController,2,0,5,5,26,5,0,0,0.4,1,1,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\main\java\adminorder\controller\AdminOrderController.java,14
trainticket-1.0.0-fa8d9ef,adminorder.controller,AdminOrderControllerTest,4,0,6,6,37,6,0,0,0.0,0,3,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\test\java\adminorder\controller\AdminOrderControllerTest.java,22
trainticket-1.0.0-fa8d9ef,adminorder.controller,FoodControllerTest,4,0,8,8,47,8,0,0,0.0,0,4,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-food-service\src\test\java\adminorder\controller\FoodControllerTest.java,23
trainticket-1.0.0-fa8d9ef,adminorder.service,AdminOrderService,0,0,4,0,33,4,1,0,-1.0,2,0,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\main\java\adminorder\service\AdminOrderService.java,8
trainticket-1.0.0-fa8d9ef,adminorder.service,AdminOrderServiceImpl,3,0,5,4,100,10,0,1,0.0,1,1,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\main\java\adminorder\service\AdminOrderServiceImpl.java,22
trainticket-1.0.0-fa8d9ef,adminorder.service,AdminOrderServiceImplTest,4,0,9,9,85,9,0,0,0.2222222222222222,0,2,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-admin-order-service\src\test\java\adminorder\service\AdminOrderServiceImplTest.java,20
trainticket-1.0.0-fa8d9ef,adminorder.service,FoodServiceImplTest,3,0,12,12,75,12,0,0,0.25,0,4,C:\Users\ale\Desktop\projects\trainticket-1.0.0-fa8d9ef\ts-food-service\src\test\java\adminorder\service\FoodServiceImplTest.java,23
