"Project","Commit","ADI"
"teastore","56b8222e",361
"teastore","585e7e9c",361
"teastore","413db162",362
"teastore","504aba04",362
"teastore","4a74699f",362
"teastore","64105610",362
"teastore","7d5b6720",362
"teastore","6fd7c262",361
"teastore","df9eef82",362
"teastore","23b0a843",363
"teastore","2c25727b",363
"teastore","6ae1ab10",363
"teastore","2139ce8d",361
"teastore","ee17217e",361
"teastore","01b0bf57",361
"teastore","ae1fc5a6",359
"teastore","1a611eba",361
"teastore","df2c0e88",359
"teastore","271aab16",359
"teastore","bc2268a0",359
"teastore","4e65aca1",359
"teastore","b903f7ce",359
"teastore","08f7b0d6",359
"teastore","0721f031",359
"teastore","7b3445e2",359
"teastore","843ee707",359
"teastore","1b58ac4b",359
"teastore","a794fd03",359
"teastore","0706ca3b",359
"teastore","ef2e6310",359
"teastore","e93bca73",359
"teastore","2f38590d",359
"teastore","b00ad0db",359
"teastore","355b40a8",359
"teastore","58f69996",359
"teastore","7c6891b9",359
"teastore","02de8a42",359
"teastore","8463620c",359
"teastore","a1da123b",359
"teastore","2f7c4918",359
"teastore","6bd5f3dc",359
"teastore","9652c9ff",359
"teastore","940f1ae7",359
"teastore","8e7211ec",359
"teastore","90d01156",359
"teastore","764d4bd9",359
"teastore","80e7cd98",359
"teastore","642af50c",359
"teastore","eab8001a",359
"teastore","4e146c52",359
