project,version,commit,LOC,ADI
TeaStore,1.0.0,b0d046e,9412,371
TeaStore,1.2.0,53c6efa,9656,361
TeaStore,1.3.4,5cab414,9829,360
TeaStore,1.4.0,e1eea5c,9844,360
TeaStore,1.4.2,14648b7,9879,360
sitewhere,1.11.0,d8df31a,127638,3928
sitewhere,1.13.0,b85bf70,128346,3902
sitewhere,2.0.0,cb30939,77290,1035
sitewhere,2.1.0,0c184b5,76730,837
sitewhere,3.0.0,fc6441d,37936,963
qbike,1,153cf1a,1038,0
qbike,2,66e65c8,1537,32
qbike,3,a5d631e,1935,47
qbike,4,472c92d,1946,53
qbike,5,47301e2,1845,53
trainticket,0.0.2,228066f,31714,173
trainticket,0.0.4,97fe13c,20163,62
trainticket,0.1.0,56b95d7,19774,59
trainticket,0.2.0,e5ae0c3,20613,62
trainticket,1.0.0,fa8d9ef,19509,173
