project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.3333333333333333,false,PACKAGE,3,9,0.8888888888888888,false,487,3,7.585196734234039E-4,0,PACKAGE,.,.,com.sitewhere.microservice.configuration,configuration,0,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,3,4,0.25,false,16,3,7.86753154026556E-4,0,PACKAGE,.,.,com.sitewhere.registration.spi,spi,16390,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,5,1,0.25,false,8,2,9.495216539074846E-4,0,PACKAGE,.,.,com.sitewhere.commands.spi.kafka,kafka,8223,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.8,false,PACKAGE,7,1,0.1,false,49,5,0.03152095613124477,0,PACKAGE,.,.,com.sitewhere.spi.microservice.logging,logging,8236,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,4,2,0.3333333333333333,false,146,1,7.863250339522493E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.device.event.request.scripting,scripting,12359,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,4,2,1.0,false,0,3,0.0016473078956445375,0,PACKAGE,.,.,com.sitewhere.rest.model.microservice,microservice,4172,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.3333333333333333,false,PACKAGE,1,3,0.75,false,146,3,6.247506613610241E-4,0,PACKAGE,.,.,com.sitewhere.sources.websocket,websocket,12368,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,2,1,0.6666666666666666,false,121,3,0.0017105281242190044,0,PACKAGE,.,.,com.sitewhere.rest.model.microservice.logging,logging,4178,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,5,2,0.6,false,247,8,0.00185040891959932,0,PACKAGE,.,.,com.sitewhere.rest.model.microservice.state,state,4186,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,26,0,0.0,false,39,1,0.00291326831571652,0,PACKAGE,.,.,com.sitewhere.common,common,8285,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,3,1,0.25,false,36,1,9.025870735997315E-4,0,PACKAGE,.,.,com.sitewhere.rest.model.microservice.scripting,scripting,4194,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,5,0.9090909090909091,false,67,3,6.282721428127865E-4,0,PACKAGE,.,.,com.sitewhere.schedule.configuration,configuration,8295,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,10,0.9285714285714286,false,201,3,6.232679323287031E-4,0,PACKAGE,.,.,com.sitewhere.tenant.kafka,kafka,4203,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,5,0.8888888888888888,false,100,3,7.269157561415804E-4,0,PACKAGE,.,.,com.sitewhere.web.ws.components,components,16498,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.5,false,PACKAGE,76,2,0.3333333333333333,false,39,18,0.021251618341556186,0,PACKAGE,.,.,com.sitewhere.spi,spi,12402,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,2,1,0.3333333333333333,false,4,1,6.734879746341694E-4,0,PACKAGE,.,.,com.sitewhere.asset.spi.grpc,grpc,16507,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,7,0.9,false,133,1,6.376487974334371E-4,0,PACKAGE,.,.,com.sitewhere.microservice.discovery.consul,consul,20606,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,64,3,0.25,false,15,3,0.01784228882574581,0,PACKAGE,.,.,com.sitewhere.spi.server,server,12421,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.7,false,PACKAGE,154,13,0.10344827586206896,false,177,22,0.07319158769977836,0,PACKAGE,.,.,com.sitewhere.spi.microservice,microservice,12433,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,18,0,0.0,false,5,1,0.008132111704426626,0,PACKAGE,.,.,com.sitewhere.spi.tracing,tracing,12441,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,5,0.9333333333333333,false,304,3,6.264078291030299E-4,0,PACKAGE,.,.,com.sitewhere.connectors.configuration,configuration,8354,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,13,1,0.058823529411764705,false,29,1,0.0025965655713672845,0,PACKAGE,.,.,com.sitewhere.spi.user,user,12453,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,3,0,0.0,false,7,1,0.001468950402359991,0,PACKAGE,.,.,com.sitewhere.spi.security,security,12465,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.25,false,PACKAGE,2,3,0.75,false,217,4,8.22045291215276E-4,0,PACKAGE,.,.,com.sitewhere.solr,solr,4285,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.16666666666666666,false,PACKAGE,1,10,0.9333333333333333,false,401,6,7.233521420103707E-4,0,PACKAGE,.,.,com.sitewhere.user.persistence.mongodb,mongodb,16573,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,11,0,0.0,false,9,1,8.818504261592685E-4,0,PACKAGE,.,.,com.sitewhere.spi.messages,messages,12481,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,6,1,0.05555555555555555,false,78,4,0.0013417276118490107,0,PACKAGE,.,.,com.sitewhere.spi.label,label,12489,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.5714285714285714,false,PACKAGE,3,2,0.2857142857142857,false,57,8,0.0028592026328723838,0,PACKAGE,.,.,com.sitewhere.spi.resource,resource,12501,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,14,2,0.15,false,24,2,0.0023341932389926564,0,PACKAGE,.,.,com.sitewhere.spi.tenant,tenant,12509,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,4,1,0.16666666666666666,false,27,2,9.587883304996268E-4,0,PACKAGE,.,.,com.sitewhere.spi.device.streaming,streaming,243,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,7,2,0.2857142857142857,false,14,2,0.0013270384086267624,0,PACKAGE,.,.,com.sitewhere.grpc.client.spi.provider,provider,4341,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,4,0.8571428571428571,false,191,1,6.247506613610241E-4,0,PACKAGE,.,.,com.sitewhere.sources.azure,azure,8442,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,5,0.875,false,60,3,6.529225129751231E-4,0,PACKAGE,.,.,com.sitewhere.media.configuration,configuration,16637,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,6,0.5,false,18,4,6.690207138974654E-4,0,PACKAGE,.,.,com.sitewhere.media.persistence,persistence,16649,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,1.0,false,PACKAGE,4,4,0.45454545454545453,false,11,1,8.097919392428955E-4,0,PACKAGE,.,.,com.sitewhere.user.spi.microservice,microservice,8467,container
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,0.0,false,PACKAGE,1,22,0.9655172413793104,false,225,3,6.707412615199993E-4,0,PACKAGE,.,.,com.sitewhere.devicestate.microservice,microservice,278,container
