project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,6.423560593141686,5.2448152616822625,0.0,CONTAINER,PACKAGE,"[com.sitewhere.asset.spi.microservice, com.sitewhere.asset.persistence.rdb, com.sitewhere.asset.configuration]",10422;10439;10388,0.0,,0.0,0.0,0.0,4.666666666666667,2.3333333333333335,4,2.3349302847344356E-5,1,3.7086444376062246,CIRCLE,3,3,2,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,35547,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,12.19574366894006,9.446782424883876,0.0,CONTAINER,PACKAGE,"[com.sitewhere.asset.spi.microservice, com.sitewhere.asset.configuration]",10439;10400,0.0,,0.0,0.0,0.0,4.5,2.0,2,2.6828958164183207E-5,1,5.454102375982532,TINY,2,5,3,0.5,0.0,0.0,0,cyclicDep,35554,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,7.148713699192047,5.054903933459865,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch, com.sitewhere.batch.handler]",10331;10477,0.0,,0.0,0.0,0.0,3.5,0.0,2,1.5114758394493784E-5,1,5.054903933459865,TINY,2,2,1,0.5,0.0,0.0,0,cyclicDep,35560,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,18.268753645550653,9.134376822775327,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch, com.sitewhere.batch.configuration.manager, com.sitewhere.batch.spi.microservice, com.sitewhere.batch.handler, com.sitewhere.batch.configuration]",10435;10199;10554;10331;10512,0.0,,0.0,0.0,0.0,4.2,2.0,9,1.7423020460577103E-5,1,5.273734917508814,CIRCLE,5,12,3,0.7483314773547882,1.2649110640673518,0.0,0,cyclicDep,35566,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,16.901706941399702,10.68957805590022,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch.persistence.rdb, com.sitewhere.batch, com.sitewhere.batch.spi.microservice, com.sitewhere.batch.persistence, com.sitewhere.batch.handler, com.sitewhere.batch.configuration]",10333;10409;10199;10554;10331;10190,0.0,,0.0,0.0,0.0,4.166666666666667,2.1333333333333333,10,1.6222910093275096E-5,1,5.34478902795011,CIRCLE,6,10,4,0.6871842709362768,1.1469767022723503,0.0,0,cyclicDep,35581,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,7.8378742996271065,4.52519883676416,0.0,CONTAINER,PACKAGE,"[com.sitewhere.batch.persistence.rdb, com.sitewhere.batch.spi.microservice, com.sitewhere.batch.configuration]",10409;10199;10412,0.0,,0.0,0.0,0.0,4.666666666666667,3.0,4,1.8961861837965984E-5,1,4.52519883676416,CIRCLE,3,3,1,0.4714045207910317,0.816496580927726,0.0,0,cyclicDep,35591,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,19.315551293367253,8.11415453643709,0.0,CONTAINER,PACKAGE,"[com.sitewhere.commands.manager, com.sitewhere.commands.configuration, com.sitewhere.commands.configuration.destinations]",10413;10240;10170,0.0,,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,5,6.120889760971645E-5,1,4.684709305858177,CIRCLE,3,17,3,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,35616,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,14.076740370171898,6.635839048500654,0.0,CONTAINER,PACKAGE,"[com.sitewhere.commands.manager, com.sitewhere.commands.configuration.destinations.coap, com.sitewhere.commands.configuration.destinations]",10304;10413;10475,0.0,,0.0,0.0,0.0,5.0,3.0,4,4.702825135368739E-5,1,4.6922467900572995,CIRCLE,3,9,2,0.816496580927726,0.816496580927726,0.0,0,cyclicDep,35629,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,14.076740370171898,6.635839048500654,0.0,CONTAINER,PACKAGE,"[com.sitewhere.commands.manager, com.sitewhere.commands.configuration.destinations.mqtt, com.sitewhere.commands.configuration.destinations]",10397;10413;10315,0.0,,0.0,0.0,0.0,5.0,3.0,4,4.702825135368739E-5,1,4.6922467900572995,CIRCLE,3,9,2,0.816496580927726,0.816496580927726,0.0,0,cyclicDep,35636,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,18.379029208545003,8.432876947413682,0.0,CONTAINER,PACKAGE,"[com.sitewhere.commands.manager, com.sitewhere.commands.destination.coap, com.sitewhere.commands.destination, com.sitewhere.commands.configuration.destinations]",10246;10183;10413;10323,0.0,,0.0,0.0,0.0,4.5,2.1666666666666665,5,3.83328423656536E-5,1,4.216438473706841,CIRCLE,4,19,4,0.5,0.3726779962499649,0.0,0,cyclicDep,35643,smell
sitewhere-3.0.0,82ce05a2-5c81-461b-998e-eb6cc0e3019e,1,2023-02-10T21:59:36.367879900,11.921496419467735,7.539816360612027,0.0,CONTAINER,PACKAGE,"[com.sitewhere.commands.configuration.router, com.sitewhere.commands.configuration.router.devicetypemapping]",10363;10470,0.0,,0.0,0.0,0.0,5.5,0.0,2,2.564157813796269E-5,1,5.33145527749004,TINY,2,5,2,0.5,0.0,0.0,0,cyclicDep,35663,smell
