project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.4,false,PACKAGE,2,3,0.9,false,495,12,0.013719896370706492,0,PACKAGE,.,.,tools.descartes.teastore.image.cache,cache,0,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,0,2,1.0,false,0,3,0.008927831399003877,0,PACKAGE,.,.,tools.descartes.teastore.auth,auth,2048,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.2,false,PACKAGE,3,4,0.47058823529411764,false,632,5,0.01914522386381514,0,PACKAGE,.,.,tools.descartes.teastore.persistence.repository,repository,515,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,0,5,1.0,false,460,7,0.008927831399003877,0,PACKAGE,.,.,tools.descartes.teastore.persistence.rest,rest,523,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,2,11,0.9333333333333333,false,960,10,0.014705450342518845,0,PACKAGE,.,.,tools.descartes.teastore.image.setup,setup,1039,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,0,0,0.0,false,87,1,0.008927831399003877,0,PACKAGE,.,.,tools.descartes.teastore.dockermemoryconfigurator,dockermemoryconfigurator,2064,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,4,6,0.4375,false,768,10,0.013624222204739432,0,PACKAGE,.,.,tools.descartes.teastore.registryclient.rest,rest,532,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,0,2,1.0,false,0,3,0.008927831399003877,0,PACKAGE,.,.,tools.descartes.teastore.webui,webui,1048,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.2,false,PACKAGE,15,2,0.03225806451612903,false,295,9,0.07356274126326152,0,PACKAGE,.,.,tools.descartes.teastore.registryclient,registryclient,2076,container
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,PACKAGE,0,0,0.0,false,14,1,0.008927831399003877,0,PACKAGE,.,.,tools.descartes.teastore.webui.rest,rest,1054,container
