project,version,commit,LOC,ImplSmell
TeaStore,1.0.0,b0d046e,9412,1043
TeaStore,1.2.0,53c6efa,9656,1036
TeaStore,1.3.4,5cab414,9829,1041
TeaStore,1.4.0,e1eea5c,9844,1041
TeaStore,1.4.2,14648b7,9879,741
sitewhere,1.11.0,d8df31a,127638,2034
sitewhere,1.13.0,b85bf70,128346,2046
sitewhere,2.0.0,cb30939,77290,1660
sitewhere,2.1.0,0c184b5,76730,1690
sitewhere,3.0.0,fc6441d,37936,629
qbike,1,153cf1a,1038,30
qbike,2,66e65c8,1537,25
qbike,3,a5d631e,1935,40
qbike,4,472c92d,1946,40
qbike,5,47301e2,1845,36
trainticket,0.0.2,228066f,31714,904
trainticket,0.0.4,97fe13c,20163,1330
trainticket,0.1.0,56b95d7,19774,1216
trainticket,0.2.0,e5ae0c3,20613,1251
trainticket,1.0.0,fa8d9ef,19509,1334
