project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.015448732981403875,0,PACKAGE,.,.,club.newtech.qbick,qbick,0,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,0,0,0.0,false,11,1,0.015448732981403875,0,PACKAGE,.,.,club.newtech.qbick.gateway,gateway,6,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,0,0,1.0,false,0,2,0.015448732981403875,0,PACKAGE,.,.,club.newtech.qbike.order.domain.core,core,134,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,0,0,0.0,false,44,5,0.015448732981403875,0,PACKAGE,.,.,club.newtech.qbike.trip,trip,391,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,2,2,0.5,false,27,1,0.034471214653277224,0,PACKAGE,.,.,club.newtech.qbike.intention.domain.core.root,root,647,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,1,4,0.875,false,191,4,0.02858009858375757,0,PACKAGE,.,.,club.newtech.qbike.order.domain.service,service,142,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,2,2,0.5,false,23,1,0.028938015568782397,0,PACKAGE,.,.,club.newtech.qbike.trip.domain.core.root,root,15,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,0,0,0.0,false,20,3,0.015448732981403875,0,PACKAGE,.,.,club.newtech.qbike.client,client,783,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,1,5,0.875,false,61,1,0.02858009858375757,0,PACKAGE,.,.,club.newtech.qbike.trip.domain.service,service,658,container
sharebike,f29f177a42144e4d07166e408fb01feafd7e10bd,22,2017-11-29T16:14:41.000,0.0,false,PACKAGE,1,1,0.5,false,27,1,0.020307365334241517,0,PACKAGE,.,.,club.newtech.qbike.trip.infrastructure,infrastructure,151,container
