project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,34.045701634017234,32.744107328969655,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.registryclient.loadbalancers, tools.descartes.teastore.registryclient]",2996;2979,0.0,,0.0,0.0,0.0,4.5,0.0,2,0.001445742996326302,1,5.383098085100539,TINY,2,40,37,0.5,0.0,0.0,0,cyclicDep,8173,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,61.62009732211963,35.57637977641671,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.image, tools.descartes.teastore.image.setup]",2951;2964,0.0,,0.0,0.0,0.0,4.5,0.0,2,3.4888739934321137E-4,1,5.556097064060723,TINY,2,123,41,0.5,0.0,0.0,0,cyclicDep,8179,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,31.021838532695703,17.91046682760897,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.image.cache, tools.descartes.teastore.image.storage, tools.descartes.teastore.image, tools.descartes.teastore.image.setup]",2928;2973;2951;2958,0.0,,0.0,0.0,0.0,4.75,1.5,8,3.3474338757943825E-4,1,4.477616706902243,CIRCLE,4,48,16,0.4330127018922193,0.7637626158259734,0.0,0,cyclicDep,8185,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,16.50426575810154,11.670278236058534,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.image.cache, tools.descartes.teastore.image.storage]",2928;3001,0.0,,0.0,0.0,0.0,5.0,1.0,2,3.2059937581566507E-4,1,4.410950563362918,TINY,2,14,7,0.0,0.0,0.0,0,cyclicDep,8193,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,17.129560627590383,10.329513713702195,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.image, tools.descartes.teastore.image.setup, tools.descartes.teastore.image.storage.rules]",2980;2951;2971,0.0,,0.0,0.0,0.0,5.0,1.6666666666666667,4,3.0217591748354195E-4,1,5.164756856851097,CIRCLE,3,11,4,0.816496580927726,1.699673171197595,0.0,0,cyclicDep,8199,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,56.31524690708865,44.98304599216121,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.persistence.domain, tools.descartes.teastore.persistence.repository]",2959;2930,0.0,,0.0,0.0,0.0,5.0,1.0,2,3.623798003422134E-4,1,4.410950563362918,TINY,2,163,104,0.0,0.0,0.0,0,cyclicDep,8206,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,12.043789555977867,8.976910717956173,0.0,UNIT,CONCRETE_CLASS,"[tools.descartes.teastore.registryclient.loadbalancers.ServiceLoadBalancer, tools.descartes.teastore.registryclient.RegistryClient, tools.descartes.teastore.registryclient.loadbalancers.LoadBalancerUpdaterDaemon]",2476;1497;1516,0.0,,0.0,0.0,0.0,4.666666666666667,0.0,3,7.935848032759237E-5,1,4.014596518659289,CIRCLE,3,9,5,0.4714045207910317,0.0,0.0,0,cyclicDep,8248,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,11.128987234075197,11.128987234075197,0.0,UNIT,ENUM,"[tools.descartes.teastore.image.setup.SetupController, tools.descartes.teastore.image.setup.CreatorFactory]",2330;2318,0.0,,0.0,0.0,0.0,5.0,2.0,2,2.5276541302848475E-5,1,4.206361795053649,TINY,2,7,7,0.0,0.0,0.0,0,cyclicDep,8255,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,11.48630278215513,6.371454407163847,0.0,UNIT,CONCRETE_CLASS,"[tools.descartes.teastore.persistence.domain.PersistenceOrder, tools.descartes.teastore.persistence.domain.PersistenceUser, tools.descartes.teastore.persistence.domain.OrderRepository]",2440;2384;2420,0.0,,0.0,0.0,0.0,5.0,2.0,5,4.475298883278666E-5,1,3.1857272035819233,CIRCLE,3,13,4,0.0,0.0,0.0,0,cyclicDep,8273,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,31.195213980653868,17.84608169643872,0.0,UNIT,CONCRETE_CLASS,"[tools.descartes.teastore.persistence.domain.PersistenceUser, tools.descartes.teastore.persistence.domain.UserRepository]",2419;2364,0.0,,0.0,0.0,0.0,5.0,2.0,2,4.055657769679615E-5,1,4.206361795053649,TINY,2,55,18,0.0,0.0,0.0,0,cyclicDep,8280,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,41.74011892819098,31.171019675594103,0.0,UNIT,CONCRETE_CLASS,"[tools.descartes.teastore.persistence.domain.PersistenceOrder, tools.descartes.teastore.persistence.domain.CategoryRepository, tools.descartes.teastore.persistence.domain.PersistenceUser, tools.descartes.teastore.persistence.domain.PersistenceCategory, tools.descartes.teastore.persistence.domain.PersistenceProduct, tools.descartes.teastore.persistence.domain.PersistenceOrderItem, tools.descartes.teastore.persistence.repository.CacheManager, tools.descartes.teastore.persistence.domain.OrderRepository]",2423;2440;2384;2372;2429;2448;2402;829,0.0,,0.0,0.0,0.0,5.0,1.75,18,5.398757125271091E-5,1,5.7883130399829845,CIRCLE,8,52,29,0.0,0.4330127018922193,0.0,0,cyclicDep,8286,smell
teastore,56b8222ebf42dbf0711f7f3c28229e1989d5df0f,1031,2018-07-09T09:04:58.000,27.437843630079723,19.73315863877661,0.0,CONTAINER,PACKAGE,"[tools.descartes.teastore.recommender.algorithm, tools.descartes.teastore.recommender.algorithm.impl.pop, tools.descartes.teastore.recommender.algorithm.impl, tools.descartes.teastore.recommender.algorithm.impl.orderbased, tools.descartes.teastore.recommender.algorithm.impl.cf]",2962;2643;2993;2965;2997;2927;3013;2934;3004,0.0,,0.0,0.0,0.0,6.4,1.6,10,8.893553872531799E-4,1,5.0950796517367225,STAR,5,29,15,0.8,0.66332495807108,0.0,0,cyclicDep,8310,smell
