project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,8.022643545619685,8.022643545619685,0.0,CONTAINER,PACKAGE,"[org.myproject.ms.monitoring.atcfg, org.myproject.ms.monitoring.instrument.async, org.myproject.ms.monitoring.instrument.schedl, org.myproject.ms.monitoring.trace]",10781;10653;10806;10742,0.0,,0.0,0.0,0.0,0.0,1.6666666666666667,4,1.367904024887365E-5,1,3.5878352654511096,CIRCLE,4,5,5,0.0,0.4714045207910317,0.0,0,cyclicDep,35346,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,3.494744537717199,3.494744537717199,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.async.ADAtcfg, org.myproject.ms.monitoring.instrument.async.ACAtcfg]",5319;5349,0.0,,0.0,0.0,0.0,0.0,2.0,2,1.6636235877387806E-6,1,3.494744537717199,TINY,2,0,1,0.0,0.0,0.0,0,cyclicDep,35354,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,5.327600006921814,5.327600006921814,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.web.client.TRTInter, org.myproject.ms.monitoring.instrument.web.client.THResp]",7522;7463,0.0,,0.0,0.0,0.0,0.0,0.0,2,2.2985231586995845E-6,1,3.075891298130961,TINY,2,3,3,0.0,0.0,0.0,0,cyclicDep,35360,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,35.703277492998794,35.703277492998794,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTRun, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.ChainRunnable, org.myproject.ms.monitoring.instrument.async.LTExec, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.SCTRun, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",,0.0,org.myproject.ms.monitoring.instrument.async.SCTRun,0.0,0.0,0.0,0.0,1.0909090909090908,38,8.395532236811447E-6,1,5.950546248833133,,12,36,36,0.0,0.7329325225725954,0.0,0,hubLikeDep,35366,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,34.69734892499815,34.69734892499815,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.web.TWAsp, org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTCall, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.instrument.async.SCTCall, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.ChainCallable, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",,0.0,org.myproject.ms.monitoring.instrument.async.SCTCall,0.0,0.0,0.0,0.0,1.1666666666666667,38,7.992839714821815E-6,1,5.950546248833133,,12,34,34,0.0,0.7703468981143128,0.0,0,hubLikeDep,35383,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,33.80141154643185,25.879763218438857,0.6666666666666666,CONTAINER,PACKAGE,"[org.myproject.ms.monitoring.atcfg, org.myproject.ms.monitoring.instrument.rest, org.myproject.ms.monitoring, org.myproject.ms.monitoring.instrument.schedl, org.myproject.ms.monitoring.antn, org.myproject.ms.monitoring.instrument.msg, org.myproject.ms.monitoring.lgger, org.myproject.ms.monitoring.instrument.web, org.myproject.ms.monitoring.spl, org.myproject.ms.monitoring.trace]",,0.3333333333333333,org.myproject.ms.monitoring.atcfg,0.3333333333333333,0.0,0.0,0.0,1.8888888888888888,20,1.9147700662676067E-5,1,6.276764547976368,,10,29,17,0.0,0.4331908597692873,0.0,0,hubLikeDep,35400,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,30.85600750969856,30.85600750969856,0.0,CONTAINER,PACKAGE,"[edu.fudan.common, edu.fudan.common.security, edu.fudan, user]",,0.0,user,0.0,1.0,0.0,0.0,0.8333333333333334,3,6.80328513634742E-5,1,5.454623037612722,,4,32,32,0.0,0.8975274678557507,1.0,0,unstableDep,35415,smell
trainticket,b22197c4bad090db3186e09a477f893b779eff98,143,2019-05-30T14:44:47.000,18.57356281891521,18.57356281891521,0.0,CONTAINER,PACKAGE,"[auth, edu.fudan.common, edu.fudan.common.security, edu.fudan]",,0.0,auth,0.0,1.0,0.0,0.0,1.1666666666666667,3,6.80328513634742E-5,1,5.87347627719896,,4,10,10,0.0,0.8975274678557508,1.0,0,unstableDep,35424,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,8.022643545619685,8.022643545619685,0.0,CONTAINER,PACKAGE,"[org.myproject.ms.monitoring.atcfg, org.myproject.ms.monitoring.instrument.async, org.myproject.ms.monitoring.instrument.schedl, org.myproject.ms.monitoring.trace]",10785;10657;10809;10745,0.0,,0.0,0.0,0.0,0.0,1.6666666666666667,4,1.367904024887365E-5,1,3.5878352654511096,CIRCLE,4,5,5,0.0,0.4714045207910317,0.0,0,cyclicDep,35348,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,3.494744537717199,3.494744537717199,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.async.ADAtcfg, org.myproject.ms.monitoring.instrument.async.ACAtcfg]",5319;5349,0.0,,0.0,0.0,0.0,0.0,2.0,2,1.6637916538700222E-6,1,3.494744537717199,TINY,2,0,1,0.0,0.0,0.0,0,cyclicDep,35356,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,5.327600006921814,5.327600006921814,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.web.client.TRTInter, org.myproject.ms.monitoring.instrument.web.client.THResp]",7522;7463,0.0,,0.0,0.0,0.0,0.0,0.0,2,2.2987553689375213E-6,1,3.075891298130961,TINY,2,3,3,0.0,0.0,0.0,0,cyclicDep,35362,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,35.703277492998794,35.703277492998794,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTRun, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.ChainRunnable, org.myproject.ms.monitoring.instrument.async.LTExec, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.SCTRun, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",,0.0,org.myproject.ms.monitoring.instrument.async.SCTRun,0.0,0.0,0.0,0.0,1.0909090909090908,38,8.396380433945631E-6,1,5.950546248833133,,12,36,36,0.0,0.7329325225725954,0.0,0,hubLikeDep,35368,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,34.69734892499815,34.69734892499815,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.web.TWAsp, org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTCall, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.instrument.async.SCTCall, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.ChainCallable, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",,0.0,org.myproject.ms.monitoring.instrument.async.SCTCall,0.0,0.0,0.0,0.0,1.1666666666666667,38,7.993647226928937E-6,1,5.950546248833133,,12,34,34,0.0,0.7703468981143128,0.0,0,hubLikeDep,35385,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,33.80141154643185,25.879763218438857,0.6666666666666666,CONTAINER,PACKAGE,"[org.myproject.ms.monitoring.atcfg, org.myproject.ms.monitoring.instrument.rest, org.myproject.ms.monitoring, org.myproject.ms.monitoring.instrument.schedl, org.myproject.ms.monitoring.antn, org.myproject.ms.monitoring.instrument.msg, org.myproject.ms.monitoring.lgger, org.myproject.ms.monitoring.instrument.web, org.myproject.ms.monitoring.spl, org.myproject.ms.monitoring.trace]",,0.3333333333333333,org.myproject.ms.monitoring.atcfg,0.3333333333333333,0.0,0.0,0.0,1.8888888888888888,20,1.914770066267607E-5,1,6.276764547976368,,10,29,17,0.0,0.4331908597692873,0.0,0,hubLikeDep,35402,smell
trainticket,9f4a3689fd1bb7dabe670c26954dbe293cb99a10,148,2019-06-04T15:55:16.000,38.18236126328905,38.18236126328905,0.0,CONTAINER,PACKAGE,"[edu.fudan.common, edu.fudan.common.security, edu.fudan, user]",,0.0,user,0.0,1.0,0.0,0.0,0.8333333333333334,3,6.80328513634742E-5,1,5.454623037612722,,4,49,49,0.0,0.8975274678557507,1.0,0,unstableDep,35417,smell
